force,pos,j_d1,j_d2,ur_loop1,ur_loop2,bench,target_clock,estimated_clock,min_latency,max_latency,bram_used,dsp48_used,ff_used,lut_used
1,4,2,2,1,2,full-stencil2d-outer:machsuite-md-knn-0-3-1-1-0-1,4.0,2.92,11198,11198,372,592,114983,66911
4,2,1,4,2,4,full-stencil2d-outer:machsuite-md-knn-3-1-0-3-1-3,4.0,2.92,10686,10686,660,1184,225179,126133
2,1,2,4,2,8,full-stencil2d-outer:machsuite-md-knn-1-0-1-3-1-7,4.0,2.92,10432,10432,696,2368,394951,238423
2,4,2,1,2,1,full-stencil2d-outer:machsuite-md-knn-1-3-1-0-1-0,4.0,2.92,11194,11194,660,592,140063,69001
2,1,4,4,2,1,full-stencil2d-outer:machsuite-md-knn-1-0-3-3-1-0,4.0,2.92,10432,10432,792,2368,394952,243045
4,4,2,1,2,1,full-stencil2d-outer:machsuite-md-knn-3-3-1-0-1-0,4.0,2.92,11194,11194,672,592,140129,69017
1,2,1,4,1,1,full-stencil2d-outer:machsuite-md-knn-0-1-0-3-0-0,4.0,2.92,10688,10688,360,1184,199867,122022
2,2,4,1,4,1,full-stencil2d-outer:machsuite-md-knn-1-1-3-0-3-0,4.0,2.92,10682,10682,1236,1184,275505,131782
1,4,4,4,2,1,full-stencil2d-outer:machsuite-md-knn-0-3-3-3-1-0,4.0,2.92,10432,10432,804,2368,395042,243461
4,2,4,2,4,1,full-stencil2d-outer:machsuite-md-knn-3-1-3-1-3-0,4.0,2.92,10430,10430,1284,2368,445593,246550
4,1,4,2,2,4,full-stencil2d-outer:machsuite-md-knn-3-0-3-1-1-3,4.0,2.92,10686,10686,708,1184,225167,128479
4,2,4,4,2,4,full-stencil2d-outer:machsuite-md-knn-3-1-3-3-1-3,4.0,2.92,10432,10432,804,2368,395096,243401
1,4,2,2,2,4,full-stencil2d-outer:machsuite-md-knn-0-3-1-1-1-3,4.0,2.92,10686,10686,660,1184,225190,126231
1,1,2,4,1,2,full-stencil2d-outer:machsuite-md-knn-0-0-1-3-0-1,4.0,2.92,10688,10688,402,1184,199871,123521
4,4,1,4,2,2,full-stencil2d-outer:machsuite-md-knn-3-3-0-3-1-1,4.0,2.92,10686,10686,672,1184,225202,126499
4,4,4,4,8,4,full-stencil2d-outer:machsuite-md-knn-3-3-3-3-7-3,4.0,2.92,10302,10302,2556,4736,886520,487697
1,4,1,1,2,1,full-stencil2d-outer:machsuite-md-knn-0-3-0-0-1-0,4.0,3.173,12210,12210,581,296,96825,40627
1,4,1,1,1,1,full-stencil2d-outer:machsuite-md-knn-0-3-0-0-0-0,4.0,2.92,12218,12218,369,296,72182,36766
4,4,2,1,2,2,full-stencil2d-outer:machsuite-md-knn-3-3-1-0-1-1,4.0,2.92,11194,11194,672,592,140129,69017
2,4,2,2,1,4,full-stencil2d-outer:machsuite-md-knn-1-3-1-1-0-3,4.0,2.92,11198,11198,378,592,114994,66965
2,2,4,2,4,4,full-stencil2d-outer:machsuite-md-knn-1-1-3-1-3-3,4.0,2.92,10430,10430,1284,2368,445663,246726
4,4,4,2,4,1,full-stencil2d-outer:machsuite-md-knn-3-3-3-1-3-0,4.0,2.92,10430,10430,1284,2368,445614,246531
1,2,4,2,2,2,full-stencil2d-outer:machsuite-md-knn-0-1-3-1-1-1,4.0,2.92,10686,10686,696,1184,225170,128449
