seqa_bank,seqb_bank,ptr_bank1,ptr_bank2,m_bank1,m_bank2,unrolla,unrollb,bench,target_clock,estimated_clock,min_latency,max_latency,bram_used,dsp48_used,ff_used,lut_used
4,1,4,1,2,1,2,2,nw-estimate::machsuite-nw-2-0-2-0-1-0-1-1,4.0,2.92,66922,72354,67,0,4699,9430
2,2,2,2,2,2,4,2,nw-estimate::machsuite-nw-1-1-1-1-1-1-2-1,4.0,3.068,54728,60160,72,0,5367,10737
2,1,1,4,1,4,4,2,nw-estimate::machsuite-nw-1-0-0-2-0-2-2-1,4.0,3.035,54728,60160,71,0,5122,10524
1,1,4,1,2,2,2,2,nw-estimate::machsuite-nw-0-0-2-0-1-1-1-1,4.0,2.92,66922,72354,70,0,4895,9324
4,4,4,2,4,2,2,4,nw-estimate::machsuite-nw-2-2-2-1-2-1-1-2,4.0,2.92,66856,72288,88,0,5332,11449
1,2,2,4,4,2,2,4,nw-estimate::machsuite-nw-0-1-1-2-2-1-1-2,4.0,2.92,66856,72288,83,0,5333,11842
4,4,2,4,2,1,2,2,nw-estimate::machsuite-nw-2-2-1-2-1-0-1-1,4.0,2.92,66922,72354,70,0,4620,9738
4,2,2,4,4,2,2,4,nw-estimate::machsuite-nw-2-1-1-2-2-1-1-2,4.0,2.92,66856,72288,86,0,5379,11990
1,4,2,4,2,2,2,2,nw-estimate::machsuite-nw-0-2-1-2-1-1-1-1,4.0,2.92,66922,72354,73,0,4698,9631
1,1,4,2,2,1,2,2,nw-estimate::machsuite-nw-0-0-2-1-1-0-1-1,4.0,2.92,66922,72354,64,0,4667,9375
4,1,2,2,2,1,2,2,nw-estimate::machsuite-nw-2-0-1-1-1-0-1-1,4.0,3.068,66922,72354,67,0,4569,9393
2,1,2,4,2,2,4,2,nw-estimate::machsuite-nw-1-0-1-2-1-1-2-1,4.0,3.035,54728,60160,71,0,5466,11255
2,2,2,2,1,2,2,2,nw-estimate::machsuite-nw-1-1-1-1-0-1-1-1,4.0,3.068,66922,72354,66,0,4623,9251
2,2,1,4,1,4,4,2,nw-estimate::machsuite-nw-1-1-0-2-0-2-2-1,4.0,3.035,54728,60160,72,0,5103,10584
2,2,2,4,2,2,2,2,nw-estimate::machsuite-nw-1-1-1-2-1-1-1-1,4.0,2.92,66922,72354,72,0,4709,9521
2,1,1,2,1,2,2,2,nw-estimate::machsuite-nw-1-0-0-1-0-1-1-1,4.0,2.92,66922,72354,61,0,4561,8909
4,1,2,1,2,2,2,2,nw-estimate::machsuite-nw-2-0-1-0-1-1-1-1,4.0,2.92,66922,72354,69,0,4742,9313
2,4,4,4,2,2,4,2,nw-estimate::machsuite-nw-1-2-2-2-1-1-2-1,4.0,3.035,54728,60160,74,0,5529,11765
4,1,4,4,2,2,2,2,nw-estimate::machsuite-nw-2-0-2-2-1-1-1-1,4.0,2.92,66922,72354,73,0,4834,10033
2,1,4,2,2,2,2,2,nw-estimate::machsuite-nw-1-0-2-1-1-1-1-1,4.0,2.92,66922,72354,71,0,4807,9342
2,2,1,2,2,2,2,2,nw-estimate::machsuite-nw-1-1-0-1-1-1-1-1,4.0,2.92,66922,72354,68,0,4698,9117
1,4,2,2,2,1,2,2,nw-estimate::machsuite-nw-0-2-1-1-1-0-1-1,4.0,3.068,66922,72354,67,0,4494,9240
2,4,2,4,4,1,2,4,nw-estimate::machsuite-nw-1-2-1-2-2-0-1-2,4.0,2.92,66856,72288,74,0,5158,11951
1,4,2,1,2,1,2,2,nw-estimate::machsuite-nw-0-2-1-0-1-0-1-1,4.0,2.92,66922,72354,63,0,4491,8926
1,1,1,4,1,2,2,2,nw-estimate::machsuite-nw-0-0-0-2-0-1-1-1,4.0,2.92,66922,72354,64,0,4609,9368
2,2,4,1,4,1,2,4,nw-estimate::machsuite-nw-1-1-2-0-2-0-1-2,4.0,2.92,66856,72288,72,0,5112,11012
4,4,2,2,1,4,4,2,nw-estimate::machsuite-nw-2-2-1-1-0-2-2-1,4.0,3.068,54728,60160,76,0,5332,11313
1,2,4,1,1,2,2,2,nw-estimate::machsuite-nw-0-1-2-0-0-1-1-1,4.0,2.92,66922,72354,65,0,4739,9358
1,4,4,4,4,2,2,8,nw-estimate::machsuite-nw-0-2-2-2-2-1-1-3,4.0,2.92,66823,72255,85,0,6006,16152
1,1,4,1,2,1,2,2,nw-estimate::machsuite-nw-0-0-2-0-1-0-1-1,4.0,2.92,66922,72354,64,0,4663,9157
4,4,1,2,1,2,2,2,nw-estimate::machsuite-nw-2-2-0-1-0-1-1-1,4.0,2.92,66922,72354,66,0,4589,9243
4,4,2,4,2,2,2,4,nw-estimate::machsuite-nw-2-2-1-2-1-1-1-2,4.0,2.92,66856,72288,76,0,5194,11868
2,1,1,4,2,1,2,2,nw-estimate::machsuite-nw-1-0-0-2-1-0-1-1,4.0,2.92,66922,72354,65,0,4552,9336
4,4,4,4,2,4,4,2,nw-estimate::machsuite-nw-2-2-2-2-1-2-2-1,4.0,3.035,54728,60160,88,0,5592,11654
