seqa_bank,seqb_bank,ptr_bank1,ptr_bank2,m_bank1,m_bank2,unrolla,unrollb,bench,target_clock,estimated_clock,min_latency,max_latency,bram_used,dsp48_used,ff_used,lut_used
4,2,2,2,2,4,4,2,nw-estimate::machsuite-nw-2-1-1-1-1-2-2-1,4.0,3.068,54728,60160,86,0,5418,11265
2,4,2,2,4,1,2,4,nw-estimate::machsuite-nw-1-2-1-1-2-0-1-2,4.0,3.068,66856,72288,74,0,5187,11633
2,2,4,1,4,2,2,4,nw-estimate::machsuite-nw-1-1-2-0-2-1-1-2,4.0,2.92,66856,72288,84,0,5349,11336
1,1,2,2,2,2,2,2,nw-estimate::machsuite-nw-0-0-1-1-1-1-1-1,4.0,3.068,66922,72354,70,0,4680,8987
4,4,4,4,4,2,2,4,nw-estimate::machsuite-nw-2-2-2-2-2-1-1-2,4.0,2.92,66856,72288,88,0,5424,12264
4,1,4,4,1,4,4,2,nw-estimate::machsuite-nw-2-0-2-2-0-2-2-1,4.0,3.035,54728,60160,73,0,5227,11303
2,1,2,2,1,4,4,2,nw-estimate::machsuite-nw-1-0-1-1-0-2-2-1,4.0,3.068,54728,60160,71,0,5290,11125
2,4,1,2,1,2,2,2,nw-estimate::machsuite-nw-1-2-0-1-0-1-1-1,4.0,2.92,66922,72354,64,0,4524,9061
1,4,4,4,4,2,2,4,nw-estimate::machsuite-nw-0-2-2-2-2-1-1-2,4.0,2.92,66856,72288,85,0,5302,12128
2,4,4,4,2,1,2,2,nw-estimate::machsuite-nw-1-2-2-2-1-0-1-1,4.0,2.92,66922,72354,68,0,4666,10005
2,1,2,1,1,2,2,2,nw-estimate::machsuite-nw-1-0-1-0-0-1-1-1,4.0,2.92,66922,72354,61,0,4759,9203
2,2,2,4,2,2,2,4,nw-estimate::machsuite-nw-1-1-1-2-1-1-1-2,4.0,2.92,66856,72288,72,0,5072,11577
2,2,1,4,2,2,4,2,nw-estimate::machsuite-nw-1-1-0-2-1-1-2-1,4.0,3.035,54728,60160,72,0,5471,11152
4,2,2,2,2,2,2,4,nw-estimate::machsuite-nw-2-1-1-1-1-1-1-2,4.0,3.068,66856,72288,74,0,5057,11065
4,1,1,4,2,2,4,2,nw-estimate::machsuite-nw-2-0-0-2-1-1-2-1,4.0,3.035,54728,60160,73,0,5471,11275
2,4,1,4,1,2,2,2,nw-estimate::machsuite-nw-1-2-0-2-0-1-1-1,4.0,2.92,66922,72354,68,0,4572,9522
4,4,2,4,4,2,4,4,nw-estimate::machsuite-nw-2-2-1-2-2-1-2-2,4.0,3.035,54662,60094,88,0,6869,15614
1,2,4,2,2,1,2,2,nw-estimate::machsuite-nw-0-1-2-1-1-0-1-1,4.0,2.92,66922,72354,65,0,4647,9381
4,2,2,2,1,4,4,2,nw-estimate::machsuite-nw-2-1-1-1-0-2-2-1,4.0,3.068,54728,60160,74,0,5245,11167
4,1,2,2,1,4,4,2,nw-estimate::machsuite-nw-2-0-1-1-0-2-2-1,4.0,3.068,54728,60160,73,0,5293,11107
2,2,4,4,1,4,4,2,nw-estimate::machsuite-nw-1-1-2-2-0-2-2-1,4.0,3.035,54728,60160,72,0,5206,11348
4,4,1,4,2,1,2,2,nw-estimate::machsuite-nw-2-2-0-2-1-0-1-1,4.0,2.92,66922,72354,70,0,4621,9597
4,4,4,2,1,2,2,2,nw-estimate::machsuite-nw-2-2-2-1-0-1-1-1,4.0,2.92,66922,72354,70,0,4728,9641
4,1,2,4,2,4,8,2,nw-estimate::machsuite-nw-2-0-1-2-1-2-3-1,4.0,3.035,50615,56047,85,0,6566,14277
4,2,4,1,2,2,2,4,nw-estimate::machsuite-nw-2-1-2-0-1-1-1-2,4.0,2.92,66856,72288,74,0,5257,11458
2,2,4,1,2,2,2,4,nw-estimate::machsuite-nw-1-1-2-0-1-1-1-2,4.0,2.92,66856,72288,72,0,5259,11200
1,2,4,4,4,2,2,4,nw-estimate::machsuite-nw-0-1-2-2-2-1-1-2,4.0,2.92,66856,72288,83,0,5292,12063
1,1,2,4,2,1,2,2,nw-estimate::machsuite-nw-0-0-1-2-1-0-1-1,4.0,2.92,66922,72354,64,0,4519,9376
2,2,2,4,4,2,2,4,nw-estimate::machsuite-nw-1-1-1-2-2-1-1-2,4.0,2.92,66856,72288,84,0,5355,11809
4,4,2,2,2,2,2,2,nw-estimate::machsuite-nw-2-2-1-1-1-1-1-1,4.0,3.068,66922,72354,76,0,4737,9293
4,4,4,4,2,2,2,2,nw-estimate::machsuite-nw-2-2-2-2-1-1-1-1,4.0,2.92,66922,72354,76,0,4892,10148
1,2,2,1,1,2,2,2,nw-estimate::machsuite-nw-0-1-1-0-0-1-1-1,4.0,2.92,66922,72354,61,0,4695,9237
2,4,2,2,2,1,2,2,nw-estimate::machsuite-nw-1-2-1-1-1-0-1-1,4.0,3.068,66922,72354,68,0,4543,9373
2,1,2,1,2,1,2,2,nw-estimate::machsuite-nw-1-0-1-0-1-0-1-1,4.0,2.92,66922,72354,61,0,4562,8907
4,2,1,4,1,4,4,2,nw-estimate::machsuite-nw-2-1-0-2-0-2-2-1,4.0,3.035,54728,60160,74,0,5099,10647
4,1,2,2,2,4,4,2,nw-estimate::machsuite-nw-2-0-1-1-1-2-2-1,4.0,3.068,54728,60160,85,0,5452,11235
4,4,4,2,1,4,4,2,nw-estimate::machsuite-nw-2-2-2-1-0-2-2-1,4.0,3.035,54728,60160,76,0,5335,11531
2,4,4,2,2,4,4,4,nw-estimate::machsuite-nw-1-2-2-1-1-2-2-2,4.0,3.035,54662,60094,86,0,6282,15104
4,2,2,4,2,2,2,4,nw-estimate::machsuite-nw-2-1-1-2-1-1-1-2,4.0,2.92,66856,72288,74,0,5096,11758
1,4,2,2,4,1,2,4,nw-estimate::machsuite-nw-0-2-1-1-2-0-1-2,4.0,3.068,66856,72288,73,0,5074,11369
4,2,4,4,2,2,2,4,nw-estimate::machsuite-nw-2-1-2-2-1-1-1-2,4.0,2.92,66856,72288,74,0,5198,11995
4,2,2,4,4,4,4,4,nw-estimate::machsuite-nw-2-1-1-2-2-2-2-2,4.0,3.035,54662,60094,94,0,6733,15064
2,2,4,2,4,4,4,4,nw-estimate::machsuite-nw-1-1-2-1-2-2-2-2,4.0,3.035,54662,60094,92,0,6707,15396
2,2,4,4,4,2,4,4,nw-estimate::machsuite-nw-1-1-2-2-2-1-2-2,4.0,3.035,54662,60094,84,0,6713,15392
2,1,4,1,2,2,2,2,nw-estimate::machsuite-nw-1-0-2-0-1-1-1-1,4.0,2.92,66922,72354,71,0,4895,9326
4,2,4,1,1,2,2,2,nw-estimate::machsuite-nw-2-1-2-0-0-1-1-1,4.0,2.92,66922,72354,68,0,4759,9512
2,4,2,2,2,4,4,2,nw-estimate::machsuite-nw-1-2-1-1-1-2-2-1,4.0,3.068,54728,60160,86,0,5426,11397
4,2,4,4,2,1,2,2,nw-estimate::machsuite-nw-2-1-2-2-1-0-1-1,4.0,2.92,66922,72354,68,0,4696,10015
2,4,2,4,2,2,2,2,nw-estimate::machsuite-nw-1-2-1-2-1-1-1-1,4.0,2.92,66922,72354,74,0,4714,9635
1,4,1,2,1,2,2,2,nw-estimate::machsuite-nw-0-2-0-1-0-1-1-1,4.0,2.92,66922,72354,63,0,4507,9057
1,2,2,2,2,2,2,4,nw-estimate::machsuite-nw-0-1-1-1-1-1-1-2,4.0,3.068,66856,72288,71,0,5037,10840
4,2,4,2,4,2,4,4,nw-estimate::machsuite-nw-2-1-2-1-2-1-2-2,4.0,3.035,54662,60094,86,0,6617,14486
4,4,4,2,2,4,4,2,nw-estimate::machsuite-nw-2-2-2-1-1-2-2-1,4.0,3.035,54728,60160,88,0,5580,11661
2,4,2,1,1,2,2,2,nw-estimate::machsuite-nw-1-2-1-0-0-1-1-1,4.0,2.92,66922,72354,64,0,4722,9355
2,1,2,2,2,4,4,2,nw-estimate::machsuite-nw-1-0-1-1-1-2-2-1,4.0,3.068,54728,60160,83,0,5449,11253
4,2,4,2,1,2,2,2,nw-estimate::machsuite-nw-2-1-2-1-0-1-1-1,4.0,2.92,66922,72354,68,0,4659,9512
1,1,4,1,1,2,2,2,nw-estimate::machsuite-nw-0-0-2-0-0-1-1-1,4.0,2.92,66922,72354,64,0,4780,9322
4,2,2,2,2,2,4,2,nw-estimate::machsuite-nw-2-1-1-1-1-1-2-1,4.0,3.068,54728,60160,74,0,5364,10809
4,2,4,2,1,4,4,2,nw-estimate::machsuite-nw-2-1-2-1-0-2-2-1,4.0,3.035,54728,60160,74,0,5266,11402
4,4,2,4,2,4,4,4,nw-estimate::machsuite-nw-2-2-1-2-1-2-2-2,4.0,3.035,54662,60094,88,0,6173,14305
2,2,1,4,2,4,4,2,nw-estimate::machsuite-nw-1-1-0-2-1-2-2-1,4.0,3.035,54728,60160,84,0,5375,11022
4,1,2,4,2,2,2,2,nw-estimate::machsuite-nw-2-0-1-2-1-1-1-1,4.0,2.92,66922,72354,73,0,4753,9642
1,2,2,2,2,1,2,2,nw-estimate::machsuite-nw-0-1-1-1-1-0-1-1,4.0,3.068,66922,72354,65,0,4483,9126
1,2,4,4,4,1,2,4,nw-estimate::machsuite-nw-0-1-2-2-2-0-1-2,4.0,2.92,66856,72288,71,0,4899,11814
4,4,4,2,2,2,2,4,nw-estimate::machsuite-nw-2-2-2-1-1-1-1-2,4.0,2.92,66856,72288,76,0,5254,11585
4,4,2,4,4,4,4,4,nw-estimate::machsuite-nw-2-2-1-2-2-2-2-2,4.0,3.035,54662,60094,96,0,6839,15262
2,2,2,1,1,2,2,2,nw-estimate::machsuite-nw-1-1-1-0-0-1-1-1,4.0,2.92,66922,72354,62,0,4717,9241
4,1,4,4,1,2,2,2,nw-estimate::machsuite-nw-2-0-2-2-0-1-1-1,4.0,2.92,66922,72354,67,0,4821,10095
2,2,4,1,2,2,2,2,nw-estimate::machsuite-nw-1-1-2-0-1-1-1-1,4.0,2.92,66922,72354,72,0,4897,9334
1,4,4,2,2,1,2,2,nw-estimate::machsuite-nw-0-2-2-1-1-0-1-1,4.0,2.92,66922,72354,67,0,4633,9462
2,1,1,2,2,1,2,2,nw-estimate::machsuite-nw-1-0-0-1-1-0-1-1,4.0,2.92,66922,72354,61,0,4568,9171
2,2,2,2,2,2,2,4,nw-estimate::machsuite-nw-1-1-1-1-1-1-1-2,4.0,3.068,66856,72288,72,0,5060,10807
2,4,4,4,2,4,4,2,nw-estimate::machsuite-nw-1-2-2-2-1-2-2-1,4.0,3.035,54728,60160,86,0,5514,11559
2,1,2,4,1,2,2,2,nw-estimate::machsuite-nw-1-0-1-2-0-1-1-1,4.0,2.92,66922,72354,65,0,4744,9575
4,1,1,2,1,2,2,2,nw-estimate::machsuite-nw-2-0-0-1-0-1-1-1,4.0,2.92,66922,72354,63,0,4550,9081
1,2,4,1,4,1,2,4,nw-estimate::machsuite-nw-0-1-2-0-2-0-1-2,4.0,2.92,66856,72288,71,0,4994,10808
4,4,4,4,1,4,4,2,nw-estimate::machsuite-nw-2-2-2-2-0-2-2-1,4.0,3.035,54728,60160,76,0,5271,11492
1,2,1,2,1,2,2,2,nw-estimate::machsuite-nw-0-1-0-1-0-1-1-1,4.0,2.92,66922,72354,61,0,4519,8943
2,4,4,4,4,2,2,8,nw-estimate::machsuite-nw-1-2-2-2-2-1-1-3,4.0,2.92,66823,72255,86,0,6027,16057
2,2,2,2,2,2,2,2,nw-estimate::machsuite-nw-1-1-1-1-1-1-1-1,4.0,3.068,66922,72354,72,0,4653,8997
4,2,4,4,2,2,2,2,nw-estimate::machsuite-nw-2-1-2-2-1-1-1-1,4.0,2.92,66922,72354,74,0,4830,10019
4,4,4,4,4,4,4,8,nw-estimate::machsuite-nw-2-2-2-2-2-2-2-3,4.0,3.035,54629,60061,96,0,8307,21202
4,2,1,4,1,2,2,2,nw-estimate::machsuite-nw-2-1-0-2-0-1-1-1,4.0,2.92,66922,72354,68,0,4600,9515
2,1,4,2,1,2,2,2,nw-estimate::machsuite-nw-1-0-2-1-0-1-1-1,4.0,2.92,66922,72354,65,0,4681,9340
1,4,4,1,2,1,2,2,nw-estimate::machsuite-nw-0-2-2-0-1-0-1-1,4.0,2.92,66922,72354,67,0,4629,9260
4,1,1,2,2,1,2,2,nw-estimate::machsuite-nw-2-0-0-1-1-0-1-1,4.0,2.92,66922,72354,63,0,4571,9313
4,2,4,2,2,2,2,2,nw-estimate::machsuite-nw-2-1-2-1-1-1-1-1,4.0,2.92,66922,72354,74,0,4806,9484
2,4,4,1,4,1,2,4,nw-estimate::machsuite-nw-1-2-2-0-2-0-1-2,4.0,2.92,66856,72288,74,0,5116,11125
4,4,4,2,2,4,4,4,nw-estimate::machsuite-nw-2-2-2-1-1-2-2-2,4.0,3.035,54662,60094,88,0,6361,15014
2,4,2,1,2,2,2,2,nw-estimate::machsuite-nw-1-2-1-0-1-1-1-1,4.0,2.92,66922,72354,70,0,4715,9263
1,1,4,4,1,2,2,2,nw-estimate::machsuite-nw-0-0-2-2-0-1-1-1,4.0,2.92,66922,72354,64,0,4805,10012
1,2,2,2,2,2,2,2,nw-estimate::machsuite-nw-0-1-1-1-1-1-1-1,4.0,3.068,66922,72354,71,0,4630,8993
1,2,2,2,4,1,2,4,nw-estimate::machsuite-nw-0-1-1-1-2-0-1-2,4.0,3.068,66856,72288,71,0,5044,11247
4,4,4,4,2,2,4,2,nw-estimate::machsuite-nw-2-2-2-2-1-1-2-1,4.0,3.035,54728,60160,76,0,5607,11950
2,1,4,4,2,4,4,2,nw-estimate::machsuite-nw-1-0-2-2-1-2-2-1,4.0,3.035,54728,60160,83,0,5532,11480
1,4,4,4,2,2,2,4,nw-estimate::machsuite-nw-0-2-2-2-1-1-1-2,4.0,2.92,66856,72288,73,0,5152,11960
2,4,2,4,1,4,4,2,nw-estimate::machsuite-nw-1-2-1-2-0-2-2-1,4.0,3.035,54728,60160,74,0,5134,11123
4,4,2,1,1,2,2,2,nw-estimate::machsuite-nw-2-2-1-0-0-1-1-1,4.0,2.92,66922,72354,66,0,4802,9537
1,4,2,2,1,2,2,2,nw-estimate::machsuite-nw-0-2-1-1-0-1-1-1,4.0,3.068,66922,72354,67,0,4611,9361
1,1,4,2,1,2,2,2,nw-estimate::machsuite-nw-0-0-2-1-0-1-1-1,4.0,2.92,66922,72354,64,0,4680,9338
2,2,4,4,2,4,4,4,nw-estimate::machsuite-nw-1-1-2-2-1-2-2-2,4.0,3.035,54662,60094,84,0,6280,14751
4,1,2,1,2,1,2,2,nw-estimate::machsuite-nw-2-0-1-0-1-0-1-1,4.0,2.92,66922,72354,63,0,4558,9079
2,2,2,4,2,4,4,4,nw-estimate::machsuite-nw-1-1-1-2-1-2-2-2,4.0,3.035,54662,60094,84,0,6079,14058
4,2,4,4,4,4,4,4,nw-estimate::machsuite-nw-2-1-2-2-2-2-2-2,4.0,3.035,54662,60094,94,0,6583,14743
4,2,2,2,2,1,2,2,nw-estimate::machsuite-nw-2-1-1-1-1-0-1-1,4.0,3.068,66922,72354,68,0,4535,9379
4,4,4,4,2,4,4,4,nw-estimate::machsuite-nw-2-2-2-2-1-2-2-2,4.0,3.035,54662,60094,88,0,6352,14941
2,4,2,4,2,2,2,4,nw-estimate::machsuite-nw-1-2-1-2-1-1-1-2,4.0,2.92,66856,72288,74,0,5088,11699
2,4,2,2,1,2,2,2,nw-estimate::machsuite-nw-1-2-1-1-0-1-1-1,4.0,3.068,66922,72354,68,0,4628,9365
2,1,4,4,1,2,2,2,nw-estimate::machsuite-nw-1-0-2-2-0-1-1-1,4.0,2.92,66922,72354,65,0,4805,10014
4,2,2,4,1,2,2,2,nw-estimate::machsuite-nw-2-1-1-2-0-1-1-1,4.0,2.92,66922,72354,68,0,4712,9720
1,4,2,4,2,1,2,2,nw-estimate::machsuite-nw-0-2-1-2-1-0-1-1,4.0,2.92,66922,72354,67,0,4480,9496
1,4,4,1,4,2,2,4,nw-estimate::machsuite-nw-0-2-2-0-2-1-1-2,4.0,2.92,66856,72288,85,0,5337,11482
2,4,4,2,1,4,4,2,nw-estimate::machsuite-nw-1-2-2-1-0-2-2-1,4.0,3.035,54728,60160,74,0,5256,11517
4,4,4,1,2,1,2,2,nw-estimate::machsuite-nw-2-2-2-0-1-0-1-1,4.0,2.92,66922,72354,70,0,4757,9545
4,4,4,1,4,2,2,4,nw-estimate::machsuite-nw-2-2-2-0-2-1-1-2,4.0,2.92,66856,72288,88,0,5433,11695
1,1,2,2,1,2,2,2,nw-estimate::machsuite-nw-0-0-1-1-0-1-1-1,4.0,3.068,66922,72354,64,0,4664,9211
1,2,1,4,1,2,2,2,nw-estimate::machsuite-nw-0-1-0-2-0-1-1-1,4.0,2.92,66922,72354,65,0,4568,9404
1,4,2,4,4,2,2,4,nw-estimate::machsuite-nw-0-2-1-2-2-1-1-2,4.0,2.92,66856,72288,85,0,5363,11964
2,2,4,4,4,1,2,4,nw-estimate::machsuite-nw-1-1-2-2-2-0-1-2,4.0,2.92,66856,72288,72,0,5017,12018
4,1,4,1,1,2,2,2,nw-estimate::machsuite-nw-2-0-2-0-0-1-1-1,4.0,2.92,66922,72354,67,0,4784,9496
2,2,4,4,2,2,2,2,nw-estimate::machsuite-nw-1-1-2-2-1-1-1-1,4.0,2.92,66922,72354,72,0,4820,9960
4,2,2,1,2,1,2,2,nw-estimate::machsuite-nw-2-1-1-0-1-0-1-1,4.0,2.92,66922,72354,64,0,4524,9065
4,4,4,1,1,2,2,2,nw-estimate::machsuite-nw-2-2-2-0-0-1-1-1,4.0,2.92,66922,72354,70,0,4828,9641
4,1,4,1,2,2,2,2,nw-estimate::machsuite-nw-2-0-2-0-1-1-1-1,4.0,2.92,66922,72354,73,0,4899,9498
4,1,1,4,2,2,2,2,nw-estimate::machsuite-nw-2-0-0-2-1-1-1-1,4.0,2.92,66922,72354,73,0,4756,9501
2,4,4,2,4,2,4,4,nw-estimate::machsuite-nw-1-2-2-1-2-1-2-2,4.0,3.035,54662,60094,86,0,6624,14585
1,2,4,2,4,2,2,4,nw-estimate::machsuite-nw-0-1-2-1-2-1-1-2,4.0,2.92,66856,72288,83,0,5226,11139
2,1,2,1,2,2,2,2,nw-estimate::machsuite-nw-1-0-1-0-1-1-1-1,4.0,2.92,66922,72354,67,0,4738,9141
1,1,4,2,2,2,2,2,nw-estimate::machsuite-nw-0-0-2-1-1-1-1-1,4.0,2.92,66922,72354,70,0,4806,9340
2,4,4,2,1,2,2,2,nw-estimate::machsuite-nw-1-2-2-1-0-1-1-1,4.0,2.92,66922,72354,68,0,4649,9459
2,4,4,2,2,2,2,2,nw-estimate::machsuite-nw-1-2-2-1-1-1-1-1,4.0,2.92,66922,72354,74,0,4789,9431
1,2,1,2,2,2,2,2,nw-estimate::machsuite-nw-0-1-0-1-1-1-1-1,4.0,2.92,66922,72354,67,0,4675,9113
4,4,4,4,1,2,2,2,nw-estimate::machsuite-nw-2-2-2-2-0-1-1-1,4.0,2.92,66922,72354,70,0,4865,10240
2,4,4,1,2,2,2,4,nw-estimate::machsuite-nw-1-2-2-0-1-1-1-2,4.0,2.92,66856,72288,74,0,5253,11313
2,1,2,4,2,2,2,2,nw-estimate::machsuite-nw-1-0-1-2-1-1-1-1,4.0,2.92,66922,72354,71,0,4737,9513
4,2,4,4,2,4,4,4,nw-estimate::machsuite-nw-2-1-2-2-1-2-2-2,4.0,3.035,54662,60094,86,0,6276,14752
2,4,4,1,2,2,2,2,nw-estimate::machsuite-nw-1-2-2-0-1-1-1-1,4.0,2.92,66922,72354,74,0,4877,9431
4,2,4,4,2,4,4,2,nw-estimate::machsuite-nw-2-1-2-2-1-2-2-1,4.0,3.035,54728,60160,86,0,5530,11525
2,2,4,2,2,4,4,2,nw-estimate::machsuite-nw-1-1-2-1-1-2-2-1,4.0,3.035,54728,60160,84,0,5521,11566
4,1,2,2,2,2,4,2,nw-estimate::machsuite-nw-2-0-1-1-1-1-2-1,4.0,3.068,54728,60160,73,0,5398,10779
1,4,4,1,2,2,2,4,nw-estimate::machsuite-nw-0-2-2-0-1-1-1-2,4.0,2.92,66856,72288,73,0,5237,11346
4,4,4,4,4,4,8,4,nw-estimate::machsuite-nw-2-2-2-2-2-2-3-2,4.0,3.035,50549,55981,96,0,9047,21579
1,2,1,2,2,1,2,2,nw-estimate::machsuite-nw-0-1-0-1-1-0-1-1,4.0,2.92,66922,72354,61,0,4515,9046
4,2,1,2,2,2,2,2,nw-estimate::machsuite-nw-2-1-0-1-1-1-1-1,4.0,2.92,66922,72354,70,0,4695,9267
4,4,4,2,4,2,2,8,nw-estimate::machsuite-nw-2-2-2-1-2-1-1-3,4.0,2.92,66823,72255,88,0,6115,15147
2,2,4,2,4,2,2,4,nw-estimate::machsuite-nw-1-1-2-1-2-1-1-2,4.0,2.92,66856,72288,84,0,5249,11106
4,2,2,4,1,4,4,2,nw-estimate::machsuite-nw-2-1-1-2-0-2-2-1,4.0,3.035,54728,60160,74,0,5125,11072
4,2,4,2,2,1,2,2,nw-estimate::machsuite-nw-2-1-2-1-1-0-1-1,4.0,2.92,66922,72354,68,0,4699,9618
2,1,1,4,2,2,2,2,nw-estimate::machsuite-nw-1-0-0-2-1-1-1-1,4.0,2.92,66922,72354,71,0,4740,9372
4,4,1,4,2,4,4,2,nw-estimate::machsuite-nw-2-2-0-2-1-2-2-1,4.0,3.035,54728,60160,88,0,5428,11231
2,2,1,4,1,2,2,2,nw-estimate::machsuite-nw-1-1-0-2-0-1-1-1,4.0,2.92,66922,72354,66,0,4590,9408
2,2,4,4,2,2,2,4,nw-estimate::machsuite-nw-1-1-2-2-1-1-1-2,4.0,2.92,66856,72288,72,0,5174,11862
4,4,4,2,2,2,4,2,nw-estimate::machsuite-nw-2-2-2-1-1-1-2-1,4.0,3.035,54728,60160,76,0,5652,11403
4,1,4,2,2,2,4,2,nw-estimate::machsuite-nw-2-0-2-1-1-1-2-1,4.0,3.035,54728,60160,73,0,5594,11244
2,1,4,4,2,1,2,2,nw-estimate::machsuite-nw-1-0-2-2-1-0-1-1,4.0,2.92,66922,72354,65,0,4684,9948
4,2,4,2,4,2,2,4,nw-estimate::machsuite-nw-2-1-2-1-2-1-1-2,4.0,2.92,66856,72288,86,0,5246,11348
4,4,4,2,2,1,2,2,nw-estimate::machsuite-nw-2-2-2-1-1-0-1-1,4.0,2.92,66922,72354,70,0,4761,9747
4,2,2,4,2,2,4,2,nw-estimate::machsuite-nw-2-1-1-2-1-1-2-1,4.0,3.035,54728,60160,74,0,5434,11438
1,1,2,1,2,1,2,2,nw-estimate::machsuite-nw-0-0-1-0-1-0-1-1,4.0,2.92,66922,72354,60,0,4530,8806
2,2,4,1,2,1,2,2,nw-estimate::machsuite-nw-1-1-2-0-1-0-1-1,4.0,2.92,66922,72354,66,0,4697,9266
2,2,2,2,4,1,2,4,nw-estimate::machsuite-nw-1-1-1-1-2-0-1-2,4.0,3.068,66856,72288,72,0,5163,11511
1,4,2,4,1,2,2,2,nw-estimate::machsuite-nw-0-2-1-2-0-1-1-1,4.0,2.92,66922,72354,67,0,4691,9723
4,2,2,4,4,1,2,4,nw-estimate::machsuite-nw-2-1-1-2-2-0-1-2,4.0,2.92,66856,72288,74,0,5158,12010
4,4,1,2,2,2,2,2,nw-estimate::machsuite-nw-2-2-0-1-1-1-1-1,4.0,2.92,66922,72354,72,0,4752,9413
4,1,2,4,2,2,4,2,nw-estimate::machsuite-nw-2-0-1-2-1-1-2-1,4.0,3.035,54728,60160,73,0,5468,11408
2,2,2,4,1,4,4,2,nw-estimate::machsuite-nw-1-1-1-2-0-2-2-1,4.0,3.035,54728,60160,72,0,5129,11009
1,2,4,4,2,2,2,4,nw-estimate::machsuite-nw-0-1-2-2-1-1-1-2,4.0,2.92,66856,72288,71,0,5152,11895
1,4,4,2,4,2,2,8,nw-estimate::machsuite-nw-0-2-2-1-2-1-1-3,4.0,2.92,66823,72255,85,0,6004,14788
2,4,4,4,4,4,4,4,nw-estimate::machsuite-nw-1-2-2-2-2-2-2-2,4.0,3.035,54662,60094,94,0,6591,14851
2,2,2,4,2,2,4,2,nw-estimate::machsuite-nw-1-1-1-2-1-1-2-1,4.0,3.035,54728,60160,72,0,5438,11285
2,2,4,4,2,2,4,2,nw-estimate::machsuite-nw-1-1-2-2-1-1-2-1,4.0,3.035,54728,60160,72,0,5549,11716
4,4,4,2,4,2,4,4,nw-estimate::machsuite-nw-2-2-2-1-2-1-2-2,4.0,3.035,54662,60094,88,0,6703,14675
2,4,1,4,2,2,4,2,nw-estimate::machsuite-nw-1-2-0-2-1-1-2-1,4.0,3.035,54728,60160,74,0,5446,11266
4,1,4,4,2,2,4,2,nw-estimate::machsuite-nw-2-0-2-2-1-1-2-1,4.0,3.035,54728,60160,73,0,5549,11791
2,4,1,2,2,2,2,2,nw-estimate::machsuite-nw-1-2-0-1-1-1-1-1,4.0,2.92,66922,72354,70,0,4673,9231
2,4,4,2,4,2,2,4,nw-estimate::machsuite-nw-1-2-2-1-2-1-1-2,4.0,2.92,66856,72288,86,0,5253,11203
1,4,2,2,2,2,2,4,nw-estimate::machsuite-nw-0-2-1-1-1-1-1-2,4.0,3.068,66856,72288,73,0,5059,10962
2,4,2,2,2,2,2,4,nw-estimate::machsuite-nw-1-2-1-1-1-1-1-2,4.0,3.068,66856,72288,74,0,5076,10929
2,2,4,2,2,1,2,2,nw-estimate::machsuite-nw-1-1-2-1-1-0-1-1,4.0,2.92,66922,72354,66,0,4702,9514
4,4,2,2,2,2,4,2,nw-estimate::machsuite-nw-2-2-1-1-1-1-2-1,4.0,3.068,54728,60160,76,0,5451,10955
2,4,4,1,4,2,2,4,nw-estimate::machsuite-nw-1-2-2-0-2-1-1-2,4.0,2.92,66856,72288,86,0,5353,11449
4,4,4,4,4,2,2,8,nw-estimate::machsuite-nw-2-2-2-2-2-1-1-3,4.0,2.92,66823,72255,88,0,6151,16366
2,2,4,4,1,2,2,2,nw-estimate::machsuite-nw-1-1-2-2-0-1-1-1,4.0,2.92,66922,72354,66,0,4786,10052
2,4,2,1,2,1,2,2,nw-estimate::machsuite-nw-1-2-1-0-1-0-1-1,4.0,2.92,66922,72354,64,0,4539,9029
2,2,2,4,2,1,2,2,nw-estimate::machsuite-nw-1-1-1-2-1-0-1-1,4.0,2.92,66922,72354,66,0,4523,9485
2,4,4,4,1,4,4,2,nw-estimate::machsuite-nw-1-2-2-2-0-2-2-1,4.0,3.035,54728,60160,74,0,5193,11397
4,4,4,1,4,1,2,4,nw-estimate::machsuite-nw-2-2-2-0-2-0-1-2,4.0,2.92,66856,72288,76,0,5188,11371
4,2,4,4,1,4,4,2,nw-estimate::machsuite-nw-2-1-2-2-0-2-2-1,4.0,3.035,54728,60160,74,0,5202,11363
1,4,4,4,2,2,2,2,nw-estimate::machsuite-nw-0-2-2-2-1-1-1-1,4.0,2.92,66922,72354,73,0,4784,10005
4,4,2,4,2,4,8,2,nw-estimate::machsuite-nw-2-2-1-2-1-2-3-1,4.0,3.035,50615,56047,88,0,6619,14497
1,2,1,4,2,1,2,2,nw-estimate::machsuite-nw-0-1-0-2-1-0-1-1,4.0,2.92,66922,72354,65,0,4500,9241
1,2,4,1,2,2,2,2,nw-estimate::machsuite-nw-0-1-2-0-1-1-1-1,4.0,2.92,66922,72354,71,0,4875,9330
4,2,2,2,2,2,2,2,nw-estimate::machsuite-nw-2-1-1-1-1-1-1-1,4.0,3.068,66922,72354,74,0,4650,9147
4,2,4,4,4,2,2,4,nw-estimate::machsuite-nw-2-1-2-2-2-1-1-2,4.0,2.92,66856,72288,86,0,5338,12163
1,2,2,2,1,2,2,2,nw-estimate::machsuite-nw-0-1-1-1-0-1-1-1,4.0,3.068,66922,72354,65,0,4600,9247
