bench,bank11,bank12,bank21,bank22,unroll1,unroll2,unroll3,target_clk,estimate_clk,est_min_lat,est_max_lat,est_bram,est_dsp,est_ff,est_lut,est_read_lat,est_compute_lat,est_write_lat
gemm-dse:gemm-1-2-1-1-0-0-1,2,3,2,2,1,1,2,4.0,2.92,1097771,1097771,118,48,11636,11997,32777,1048594,16391
gemm-dse:gemm-3-1-3-1-2-2-3,4,2,4,2,4,4,6,4.0,2.92,114722,114722,98,1024,72818,27280,32776,65550,16390
gemm-dse:gemm-3-1-1-2-0-4-2,4,2,2,3,1,8,4,4.0,2.92,835625,835625,108,254,23374,12476,32777,786442,16400
gemm-dse:gemm-1-1-1-0-2-4-3,2,2,2,1,4,8,6,4.0,2.92,311348,311348,96,1008,73709,27849,32776,262175,16391
gemm-dse:gemm-1-3-1-2-1-3-4,2,4,2,3,2,6,8,4.0,2.92,180266,180266,108,262,24700,15582,32777,131083,16400
gemm-dse:gemm-0-1-2-0-4-4-3,1,2,3,1,8,8,6,4.0,2.92,573482,573482,98,2048,152382,58127,32777,524298,16401
gemm-dse:gemm-2-1-1-0-1-2-1,3,2,2,1,2,4,2,4.0,2.92,311348,311348,116,512,45002,30126,32777,262174,16391
gemm-dse:gemm-1-0-2-3-1-4-1,2,1,3,4,2,8,2,4.0,2.92,573482,573482,110,212,21466,17440,32777,524298,16401
gemm-dse:gemm-1-0-2-3-0-1-1,2,1,3,4,1,2,2,4.0,2.92,1097766,1097766,110,112,13384,14677,32777,1048582,16401
gemm-dse:gemm-1-0-0-2-0-4-3,2,1,1,3,1,8,6,4.0,2.92,1097770,1097770,98,166,16321,16142,32777,1048586,16401
gemm-dse:gemm-1-2-0-0-0-1-2,2,3,1,1,1,2,4,4.0,2.92,573490,573490,115,258,28970,36750,32777,524316,16391
gemm-dse:gemm-0-2-1-0-3-2-4,1,3,2,1,6,4,8,4.0,2.92,355359,355359,104,1550,114945,49355,32777,306186,16391
gemm-dse:gemm-0-0-0-2-2-1-3,1,1,1,3,4,2,6,4.0,2.92,573498,573498,96,916,70961,34853,32777,524314,16401
gemm-dse:gemm-3-2-0-1-4-4-0,4,3,1,2,8,8,1,4.0,2.92,10317845,10317845,128,386,64270,42759,32777,10268672,16391
gemm-dse:gemm-3-0-2-0-0-0-4,4,1,3,1,1,1,8,4.0,2.92,2146347,2146347,102,32,6023,4539,32777,2097163,16401
gemm-dse:gemm-1-1-1-0-3-2-4,2,2,2,1,6,4,8,4.0,2.92,321556,321556,96,1536,108630,35600,32776,272384,16391
gemm-dse:gemm-0-2-2-3-3-2-4,1,3,3,4,6,4,8,4.0,2.92,173098,173098,122,1574,117183,50474,32778,123914,16401
gemm-dse:gemm-3-1-3-0-2-0-4,4,2,4,1,4,1,8,4.0,2.92,950292,950292,98,128,13116,6850,32776,901120,16391
gemm-dse:gemm-0-3-3-3-2-3-2,1,4,4,4,4,6,4,4.0,2.92,180256,180256,98,1024,74079,27092,32776,131084,16390
gemm-dse:gemm-2-2-1-0-4-4-4,3,3,2,1,8,8,8,4.0,2.92,434209,434209,104,2050,158936,76994,32778,385034,16391
gemm-dse:gemm-2-3-1-2-4-1-3,3,4,2,3,8,2,6,4.0,2.92,196675,196675,140,2050,159561,71089,32778,147491,16400
gemm-dse:gemm-2-2-0-3-3-2-1,3,3,1,4,6,4,2,4.0,2.92,201750,201750,106,1574,144272,50060,32778,152576,16391
