bench,bank11,bank12,bank21,bank22,unroll1,unroll2,unroll3,target_clk,estimate_clk,est_min_lat,est_max_lat,est_bram,est_dsp,est_ff,est_lut,est_read_lat,est_compute_lat,est_write_lat
gemm-dse:gemm-1-2-0-2-3-1-4,2,3,1,3,6,2,8,4.0,2.92,346153,346153,122,1564,118847,54224,32777,296970,16401
gemm-dse:gemm-1-3-1-2-3-3-2,2,4,2,3,6,6,4,4.0,2.92,374568,374568,108,1548,111221,42277,32777,325386,16400
gemm-dse:gemm-1-2-0-0-1-3-4,2,3,1,1,2,6,8,4.0,2.92,573510,573510,115,514,47961,41026,32777,524336,16391
gemm-dse:gemm-3-1-3-0-4-3-0,4,2,4,1,8,6,1,4.0,2.92,11685908,11685908,98,192,20106,20573,32776,11636736,16391
gemm-dse:gemm-1-3-3-1-2-1-3,2,4,4,2,4,2,6,4.0,2.92,114721,114721,98,992,72069,28023,32776,65549,16390
gemm-dse:gemm-0-0-1-3-3-0-3,1,1,2,4,6,1,6,4.0,2.92,2455571,2455571,92,16,4617,5058,32776,2406400,16390
gemm-dse:gemm-1-0-2-0-0-1-1,2,1,3,1,1,2,2,4.0,2.92,1294368,1294368,98,84,11662,13698,32777,1245184,16401
gemm-dse:gemm-3-2-3-2-3-4-0,4,3,4,3,6,8,1,4.0,2.92,10694431,10694431,146,302,61079,43038,32777,10645248,16401
gemm-dse:gemm-3-1-2-3-1-3-3,4,2,3,4,2,6,6,4.0,2.92,245801,245801,114,488,40391,20058,32777,196617,16401
gemm-dse:gemm-2-3-2-1-1-3-1,3,4,3,2,2,6,2,4.0,2.92,376881,376881,140,512,45473,31213,32777,327697,16401
gemm-dse:gemm-3-1-0-1-0-1-1,4,2,1,2,1,2,2,4.0,2.92,311332,311332,96,248,20633,8590,32776,262159,16391
gemm-dse:gemm-1-2-2-0-1-3-4,2,3,3,1,2,6,8,4.0,2.92,589880,589880,122,514,46109,42450,32778,540695,16401
gemm-dse:gemm-2-1-3-0-4-0-1,3,2,4,1,8,1,2,4.0,2.92,1736735,1736735,118,256,26994,26972,32777,1687562,16391
gemm-dse:gemm-3-0-2-3-1-1-4,4,1,3,4,2,2,8,4.0,2.92,311338,311338,114,392,33819,20018,32777,262154,16401
gemm-dse:gemm-1-2-1-0-1-0-4,2,3,2,1,2,1,8,4.0,2.92,2129951,2129951,116,66,11487,8552,32777,2080778,16391
gemm-dse:gemm-3-3-3-1-0-4-0,4,4,4,2,1,8,1,4.0,2.92,7684115,7684115,98,32,4946,5881,32776,7634944,16390
gemm-dse:gemm-0-0-1-3-1-0-2,1,1,2,4,2,1,4,4.0,2.92,2392083,2392083,92,16,3576,3690,32776,2342912,16390
gemm-dse:gemm-2-2-2-0-2-4-3,3,3,3,1,4,8,6,4.0,2.92,688171,688171,110,1026,87158,49189,32778,638986,16401
gemm-dse:gemm-2-0-0-2-1-2-1,3,1,1,3,2,4,2,4.0,2.92,442437,442437,110,514,45032,32129,32778,393252,16401
gemm-dse:gemm-1-2-1-2-3-1-2,2,3,2,3,6,2,4,4.0,2.92,381480,381480,128,1550,114928,53973,32777,332298,16400
gemm-dse:gemm-3-2-2-2-0-0-1,4,3,3,3,1,1,2,4.0,2.92,2146353,2146353,134,50,9368,8595,32778,2097168,16401
gemm-dse:gemm-1-0-3-1-3-4-2,2,1,4,2,6,8,4,4.0,2.92,257299,257299,94,1532,110835,37221,32776,208128,16390
gemm-dse:gemm-0-1-3-0-4-3-4,1,2,4,1,8,6,8,4.0,2.92,241704,241704,94,1992,143502,52788,32776,192531,16391
gemm-dse:gemm-0-1-2-0-4-4-0,1,2,3,1,8,8,1,4.0,2.92,7987231,7987231,98,256,25833,23717,32777,7938048,16401
gemm-dse:gemm-1-0-1-0-3-4-3,2,1,2,1,6,8,6,4.0,2.92,348180,348180,92,1536,108616,35703,32776,299008,16391
gemm-dse:gemm-3-1-2-2-2-4-3,4,2,3,3,4,8,6,4.0,2.92,344107,344107,102,1026,79607,37549,32778,294922,16401
gemm-dse:gemm-1-3-0-1-2-4-2,2,4,1,2,4,8,4,4.0,2.92,311345,311345,96,1024,73375,28443,32776,262172,16391
gemm-dse:gemm-2-0-3-3-4-2-4,3,1,4,4,8,4,8,4.0,2.92,315448,315448,106,2048,150882,64935,32777,266275,16390
gemm-dse:gemm-1-1-1-1-4-4-1,2,2,2,2,8,8,2,4.0,2.92,180276,180276,98,2016,142042,48072,32776,131103,16391
gemm-dse:gemm-3-3-1-3-1-2-1,4,4,2,4,2,4,2,4.0,2.92,114715,114715,98,512,38425,15093,32776,65543,16390
gemm-dse:gemm-2-1-3-0-3-1-3,3,2,4,1,6,2,6,4.0,2.92,348437,348437,118,1308,98578,38447,32777,299264,16391
gemm-dse:gemm-3-3-1-1-0-4-4,4,4,2,2,1,8,8,4.0,2.92,376858,376858,98,256,21572,9163,32776,327685,16391
gemm-dse:gemm-3-3-0-3-2-1-3,4,4,1,4,4,2,6,4.0,2.92,180260,180260,98,1024,73317,25376,32776,131087,16391
gemm-dse:gemm-3-3-2-3-4-2-4,4,4,3,4,8,4,8,4.0,2.92,180265,180265,114,2048,148349,51935,32777,131081,16401
gemm-dse:gemm-0-2-0-1-2-0-3,1,3,1,2,4,1,6,4.0,2.92,3063839,3063839,104,130,16816,15856,32777,3014666,16391
gemm-dse:gemm-0-0-3-3-1-0-4,1,1,4,4,2,1,8,4.0,2.92,2392083,2392083,92,20,3948,4380,32776,2342912,16390
gemm-dse:gemm-1-1-0-0-1-3-3,2,2,1,1,2,6,6,4.0,2.92,573490,573490,95,512,39329,17079,32776,524317,16391
gemm-dse:gemm-0-1-1-0-0-1-4,1,2,2,1,1,2,8,4.0,2.92,1359893,1359893,92,192,16915,14322,32776,1310720,16391
gemm-dse:gemm-1-3-0-3-1-1-2,2,4,1,4,2,2,4,4.0,2.92,180252,180252,98,384,30654,13708,32776,131079,16391
gemm-dse:gemm-0-2-2-1-2-2-0,1,3,3,2,4,4,1,4.0,2.92,13336608,13336608,116,98,23226,14958,32778,13287424,16401
gemm-dse:gemm-0-0-0-1-0-2-4,1,1,1,2,1,4,8,4.0,2.92,2146331,2146331,90,32,5844,12203,32776,2097158,16391
gemm-dse:gemm-0-1-0-3-0-2-4,1,2,1,4,1,4,8,4.0,2.92,1097755,1097755,94,64,7894,10842,32776,1048582,16391
gemm-dse:gemm-2-3-0-0-3-0-4,3,4,1,1,6,1,8,4.0,2.92,1608725,1608725,127,216,23303,14499,32777,1559552,16391
gemm-dse:gemm-3-0-3-1-1-3-2,4,1,4,2,2,6,4,4.0,2.92,311323,311323,98,384,31472,18199,32776,262151,16390
gemm-dse:gemm-2-1-2-0-0-2-1,3,2,3,1,1,4,2,4.0,2.92,573495,573495,122,256,26972,24666,32777,524311,16401
gemm-dse:gemm-0-0-0-0-0-3-3,1,1,1,1,1,6,6,4.0,2.92,2146333,2146333,89,128,12523,13960,32776,2097160,16391
gemm-dse:gemm-2-3-3-1-4-3-1,3,4,4,2,8,6,2,4.0,2.92,188454,188454,130,2048,148889,64549,32777,139281,16390
gemm-dse:gemm-1-0-2-0-0-0-1,2,1,3,1,1,1,2,4.0,2.92,2146355,2146355,98,32,6887,5886,32777,2097163,16401
gemm-dse:gemm-0-3-0-3-1-0-4,1,4,1,4,2,1,8,4.0,2.92,2392084,2392084,98,64,7094,4752,32776,2342912,16391
gemm-dse:gemm-3-2-0-0-2-1-3,4,3,1,1,4,2,6,4.0,2.92,573524,573524,127,1026,84294,50319,32777,524350,16391
gemm-dse:gemm-0-3-0-3-3-4-0,1,4,1,4,6,8,1,4.0,2.92,7903252,7903252,98,192,17802,12954,32776,7854080,16391
gemm-dse:gemm-0-0-1-3-1-4-3,1,1,2,4,2,8,6,4.0,2.92,1097762,1097762,92,224,19648,17226,32776,1048590,16390
gemm-dse:gemm-0-1-3-2-3-4-2,1,2,4,3,6,8,4,4.0,2.92,372009,372009,110,1544,113959,47415,32777,322826,16401
gemm-dse:gemm-1-3-0-1-0-0-0,2,4,1,2,1,1,1,4.0,2.92,6340633,6340633,96,4,2554,3290,32776,6291460,16391
gemm-dse:gemm-3-3-1-1-3-1-0,4,4,2,2,6,2,1,4.0,2.92,8064532,8064532,98,48,6658,8469,32776,8015360,16391
gemm-dse:gemm-3-0-3-1-1-3-4,4,1,4,2,2,6,8,4.0,2.92,311323,311323,98,384,31472,18199,32776,262151,16390
gemm-dse:gemm-3-1-0-0-4-4-2,4,2,1,1,8,8,4,4.0,2.92,573586,573586,95,2048,143861,51157,32776,524413,16391
gemm-dse:gemm-0-0-1-2-3-3-0,1,1,2,3,6,6,1,4.0,2.92,28800798,28800798,102,162,34293,26382,32777,28751616,16400
gemm-dse:gemm-3-2-2-0-0-0-3,4,3,3,1,1,1,6,4.0,2.92,2146353,2146353,134,34,9222,8552,32778,2097168,16401
gemm-dse:gemm-1-1-3-1-1-2-0,2,2,4,2,2,4,1,4.0,2.92,7766035,7766035,98,32,5087,5124,32776,7716864,16390
gemm-dse:gemm-1-3-0-0-2-0-3,2,4,1,1,4,1,6,4.0,2.92,1335316,1335316,95,128,12648,6771,32776,1286144,16391
gemm-dse:gemm-2-3-3-3-2-4-2,3,4,4,4,4,8,4,4.0,2.92,114729,114729,130,1024,82780,43941,32777,65556,16390
gemm-dse:gemm-0-2-1-0-1-4-4,1,3,2,1,2,8,8,4.0,2.92,442431,442431,104,514,45998,43807,32777,393257,16391
gemm-dse:gemm-0-3-0-2-4-3-1,1,4,1,3,8,6,2,4.0,2.92,245801,245801,102,2050,150156,58391,32777,196617,16401
gemm-dse:gemm-2-2-0-3-1-0-4,3,3,1,4,2,1,8,4.0,2.92,1916960,1916960,106,66,14419,11013,32778,1867786,16391
gemm-dse:gemm-2-3-1-2-1-2-0,3,4,2,3,2,4,1,4.0,2.92,13352991,13352991,140,34,13554,10498,32778,13303808,16400
gemm-dse:gemm-1-3-2-1-1-0-3,2,4,3,2,2,1,6,4.0,2.92,1687583,1687583,108,64,9102,6530,32777,1638400,16401
gemm-dse:gemm-2-1-2-0-2-2-1,3,2,3,1,4,4,2,4.0,2.92,663607,663607,122,1024,83899,43186,32777,614423,16401
gemm-dse:gemm-2-1-1-0-2-2-3,3,2,2,1,4,4,6,4.0,2.92,393261,393261,116,1024,81026,41380,32777,344087,16391
gemm-dse:gemm-3-2-1-1-4-4-2,4,3,2,2,8,8,4,4.0,2.92,217128,217128,130,2050,149635,74279,32777,167954,16391
gemm-dse:gemm-0-2-2-1-3-1-0,1,3,3,2,6,2,1,4.0,2.92,13973536,13973536,116,110,21088,12937,32778,13924352,16401
gemm-dse:gemm-1-0-0-2-0-4-2,2,1,1,3,1,8,4,4.0,2.92,1097770,1097770,98,166,16321,16142,32777,1048586,16401
gemm-dse:gemm-3-3-1-1-1-4-1,4,4,2,2,2,8,2,4.0,2.92,180258,180258,98,512,38624,15689,32776,131085,16391
gemm-dse:gemm-0-1-3-1-2-4-1,1,2,4,2,4,8,2,4.0,2.92,311332,311332,94,980,71784,28174,32776,262160,16390
gemm-dse:gemm-2-1-1-0-1-1-1,3,2,2,1,2,2,2,4.0,2.92,311348,311348,116,512,45002,30126,32777,262174,16391
gemm-dse:gemm-3-0-2-3-2-2-0,4,1,3,4,4,4,1,4.0,2.92,8093727,8093727,114,64,10316,8241,32777,8044544,16401
gemm-dse:gemm-3-3-1-3-4-2-4,4,4,2,4,8,4,8,4.0,2.92,131092,131092,98,2048,140414,47267,32776,81920,16390
gemm-dse:gemm-1-1-1-0-0-0-1,2,2,2,1,1,1,2,4.0,2.92,1097761,1097761,96,32,5367,4996,32776,1048584,16391
gemm-dse:gemm-0-0-3-2-2-2-4,1,1,4,3,4,4,8,4.0,2.92,573494,573494,108,916,70577,33876,32777,524310,16401
gemm-dse:gemm-0-1-2-1-2-3-4,1,2,3,2,4,6,8,4.0,2.92,335913,335913,104,1024,78053,31513,32777,286729,16401
gemm-dse:gemm-3-2-0-2-3-3-3,4,3,1,3,6,6,6,4.0,2.92,342057,342057,134,1564,119706,57632,32777,292874,16401
gemm-dse:gemm-3-1-3-2-1-4-0,4,2,4,3,2,8,1,4.0,2.92,7995433,7995433,114,66,10769,12955,32777,7946250,16401
gemm-dse:gemm-0-2-0-2-2-1-1,1,3,1,3,4,2,2,4.0,2.92,245851,245851,110,1028,83731,58707,32777,196667,16401
gemm-dse:gemm-3-3-1-0-1-2-4,4,4,2,1,2,4,8,4.0,2.92,311332,311332,96,512,38943,15611,32776,262159,16391
gemm-dse:gemm-0-3-0-1-4-2-0,1,4,1,2,8,4,1,4.0,2.92,7753748,7753748,96,128,12597,9936,32776,7704576,16391
gemm-dse:gemm-2-0-3-1-4-4-3,3,1,4,2,8,8,6,4.0,2.92,323640,323640,106,2048,151669,64775,32777,274467,16390
gemm-dse:gemm-3-0-3-2-1-2-1,4,1,4,3,2,4,2,4.0,2.92,442411,442411,114,402,34226,22774,32777,393227,16401
gemm-dse:gemm-3-2-3-2-0-2-1,4,3,4,3,1,4,2,4.0,2.92,344114,344114,146,260,28994,36590,32777,294930,16401
gemm-dse:gemm-2-2-0-2-4-0-0,3,3,1,3,8,1,1,4.0,2.92,7233568,7233568,110,54,16653,13249,32778,7184384,16401
gemm-dse:gemm-1-1-0-3-2-3-2,2,2,1,4,4,6,4,4.0,2.92,180259,180259,98,928,68171,25948,32776,131086,16391
gemm-dse:gemm-1-3-0-3-2-0-1,2,4,1,4,4,1,2,4.0,2.92,1335316,1335316,98,128,12972,7147,32776,1286144,16391
gemm-dse:gemm-3-1-3-0-2-4-0,4,2,4,1,4,8,1,4.0,2.92,7659540,7659540,98,128,13382,10814,32776,7610368,16391
gemm-dse:gemm-0-2-2-1-0-3-1,1,3,3,2,1,6,2,4.0,2.92,835652,835652,116,258,29847,39103,32778,786467,16401
gemm-dse:gemm-2-3-0-2-1-3-1,3,4,1,3,2,6,2,4.0,2.92,245814,245814,134,514,47771,32395,32778,196629,16401
gemm-dse:gemm-1-3-1-0-1-2-0,2,4,2,1,2,4,1,4.0,2.92,7766036,7766036,96,32,4813,4668,32776,7716864,16391
gemm-dse:gemm-2-2-2-2-3-0-2,3,3,3,3,6,1,4,4.0,2.92,2194464,2194464,110,232,45390,24758,32778,2145280,16401
gemm-dse:gemm-0-0-2-0-0-0-0,1,1,3,1,1,1,1,4.0,2.92,6340651,6340651,96,4,4219,3755,32777,6291467,16401
gemm-dse:gemm-2-3-2-3-2-1-1,3,4,3,4,4,2,2,4.0,2.92,221233,221233,146,1024,81263,43203,32777,172049,16401
gemm-dse:gemm-1-3-0-0-3-2-0,2,4,1,1,6,4,1,4.0,2.92,7996948,7996948,95,96,10726,8999,32776,7947776,16391
gemm-dse:gemm-1-1-3-0-2-1-1,2,2,4,1,4,2,2,4.0,2.92,180260,180260,98,944,70389,27084,32776,131087,16391
gemm-dse:gemm-1-3-0-0-0-3-2,2,4,1,1,1,6,4,4.0,2.92,573474,573474,95,256,21704,12133,32776,524301,16391
gemm-dse:gemm-2-1-1-3-3-1-0,3,2,2,4,6,2,1,4.0,2.92,10999828,10999828,118,72,16496,12045,32777,10950656,16390
gemm-dse:gemm-3-2-2-1-0-4-2,4,3,3,2,1,8,4,4.0,2.92,442418,442418,140,258,26420,35536,32778,393233,16401
gemm-dse:gemm-2-0-1-2-3-3-0,3,1,2,3,6,6,1,4.0,2.92,33272863,33272863,116,324,69789,38201,32778,33223680,16400
gemm-dse:gemm-2-3-2-1-3-2-3,3,4,3,2,6,4,6,4.0,2.92,166175,166175,140,1536,112703,41720,32777,116992,16401
gemm-dse:gemm-2-2-0-1-4-3-3,3,3,1,2,8,6,6,4.0,2.92,311444,311444,104,2050,165347,77045,32778,262269,16391
gemm-dse:gemm-2-2-0-0-0-0-3,3,3,1,1,1,1,6,4.0,2.92,2146345,2146345,103,34,8422,8807,32778,2097170,16391
gemm-dse:gemm-3-2-0-2-0-0-2,4,3,1,3,1,1,4,4.0,2.92,2146352,2146352,134,50,8487,7633,32777,2097168,16401
gemm-dse:gemm-2-3-0-2-1-0-0,3,4,1,3,2,1,1,4.0,2.92,7225376,7225376,134,10,6538,5836,32778,7176192,16401
gemm-dse:gemm-1-1-2-1-4-1-0,2,2,3,2,8,2,1,4.0,2.92,8151071,8151071,108,64,10343,10383,32777,8101888,16401
gemm-dse:gemm-0-1-2-1-3-0-1,1,2,3,2,6,1,2,4.0,2.92,2957855,2957855,104,216,20689,11619,32777,2908672,16401
gemm-dse:gemm-3-2-0-0-0-1-3,4,3,1,1,1,2,6,4.0,2.92,573491,573491,127,258,28236,33991,32777,524317,16391
gemm-dse:gemm-3-0-1-1-3-4-4,4,1,2,2,6,8,8,4.0,2.92,253460,253460,98,1536,110979,36290,32776,204288,16391
gemm-dse:gemm-2-0-0-2-4-1-2,3,1,1,3,8,2,4,4.0,2.92,311365,311365,110,2050,161046,71307,32778,262180,16401
gemm-dse:gemm-1-3-3-2-2-1-3,2,4,4,3,4,2,6,4.0,2.92,114731,114731,114,994,76593,31278,32777,65547,16401
gemm-dse:gemm-2-0-2-3-0-3-3,3,1,3,4,1,6,6,4.0,2.92,1196099,1196099,122,256,29338,24948,32777,1146915,16401
gemm-dse:gemm-0-2-0-2-3-0-4,1,3,1,3,6,1,8,4.0,2.92,3173407,3173407,110,208,24595,19156,32777,3124224,16401
gemm-dse:gemm-1-0-0-1-4-1-3,2,1,1,2,8,2,6,4.0,2.92,311394,311394,92,2016,142425,52894,32776,262221,16391
gemm-dse:gemm-1-3-3-3-4-2-1,2,4,4,4,8,4,2,4.0,2.92,118804,118804,98,2048,141746,48319,32776,69632,16390
gemm-dse:gemm-1-2-2-0-1-2-2,2,3,3,1,2,4,4,4.0,2.92,589880,589880,122,514,46109,42450,32778,540695,16401
gemm-dse:gemm-0-3-1-0-3-2-0,1,4,2,1,6,4,1,4.0,2.92,7996948,7996948,96,96,10228,8122,32776,7947776,16391
gemm-dse:gemm-1-0-3-1-2-3-2,2,1,4,2,4,6,4,4.0,2.92,311330,311330,94,960,70341,30942,32776,262158,16390
gemm-dse:gemm-3-3-0-0-2-2-0,4,4,1,1,4,4,1,4.0,2.92,7757844,7757844,95,64,7622,9409,32776,7708672,16391
gemm-dse:gemm-0-0-0-1-4-2-0,1,1,1,2,8,4,1,4.0,2.92,7753748,7753748,90,8,3491,6102,32776,7704576,16391
gemm-dse:gemm-3-3-0-1-1-1-0,4,4,1,2,2,2,1,4.0,2.92,7831572,7831572,96,16,3391,4902,32776,7782400,16391
gemm-dse:gemm-2-3-1-2-4-0-0,3,4,2,3,8,1,1,4.0,2.92,7200799,7200799,140,34,16767,13747,32778,7151616,16400
gemm-dse:gemm-3-1-1-0-4-4-4,4,2,2,1,8,8,8,4.0,2.92,311317,311317,96,2048,142119,50896,32776,262144,16391
gemm-dse:gemm-0-3-1-3-4-2-1,1,4,2,4,8,4,2,4.0,2.92,114723,114723,98,1760,124554,44459,32776,65551,16390
gemm-dse:gemm-1-0-3-3-1-0-0,2,1,4,4,2,1,1,4.0,2.92,6553619,6553619,94,8,3094,4011,32776,6504448,16390
gemm-dse:gemm-2-0-2-3-1-1-3,3,1,3,4,2,2,6,4.0,2.92,622659,622659,122,512,47349,31076,32777,573475,16401
gemm-dse:gemm-0-2-3-0-2-1-2,1,3,4,1,4,2,4,4.0,2.92,245825,245825,106,1026,83563,56423,32777,196651,16391
gemm-dse:gemm-1-2-0-2-3-3-4,2,3,1,3,6,6,8,4.0,2.92,346153,346153,122,1564,118847,54224,32777,296970,16401
gemm-dse:gemm-2-3-1-3-1-0-3,3,4,2,4,2,1,6,4.0,2.92,1589278,1589278,130,64,9050,7880,32777,1540106,16390
gemm-dse:gemm-2-1-1-3-2-3-1,3,2,2,4,4,6,2,4.0,2.92,229420,229420,118,1024,79187,41500,32777,180247,16390
gemm-dse:gemm-1-1-2-2-0-2-1,2,2,3,3,1,4,2,4.0,2.92,835628,835628,102,234,22457,16683,32778,786443,16401
gemm-dse:gemm-1-0-2-3-3-1-0,2,1,3,4,6,2,1,4.0,2.92,8566815,8566815,110,72,13113,9776,32777,8517632,16401
gemm-dse:gemm-3-3-0-1-0-3-3,4,4,1,2,1,6,6,4.0,2.92,311330,311330,96,256,21265,8838,32776,262157,16391
gemm-dse:gemm-2-1-0-0-4-3-0,3,2,1,1,8,6,1,4.0,2.92,15556629,15556629,115,192,45418,37208,32777,15507456,16391
gemm-dse:gemm-2-3-3-0-4-3-2,3,4,4,1,8,6,4,4.0,2.92,249907,249907,130,2048,152337,64488,32777,200733,16391
gemm-dse:gemm-1-1-2-0-3-1-1,2,2,3,1,6,2,2,4.0,2.92,237343,237343,102,1536,108428,35977,32777,188160,16401
gemm-dse:gemm-2-2-3-2-0-2-1,3,3,4,3,1,4,2,4.0,2.92,2146369,2146369,122,262,30806,30460,32778,2097184,16401
gemm-dse:gemm-2-0-3-2-4-3-3,3,1,4,3,8,6,6,4.0,2.92,311364,311364,122,2050,159032,70244,32778,262179,16401
gemm-dse:gemm-0-0-3-3-0-4-4,1,1,4,4,1,8,8,4.0,2.92,2146330,2146330,92,64,7555,6389,32776,2097158,16390
gemm-dse:gemm-3-0-3-1-3-4-1,4,1,4,2,6,8,2,4.0,2.92,253203,253203,98,1536,111976,37763,32776,204032,16390
gemm-dse:gemm-1-2-3-1-1-4-4,2,3,4,2,2,8,8,4.0,2.92,245806,245806,118,514,46135,42514,32777,196633,16390
gemm-dse:gemm-1-2-2-0-2-4-1,2,3,3,1,4,8,2,4.0,2.92,581688,581688,122,1026,83777,55506,32778,532503,16401
gemm-dse:gemm-2-1-1-2-1-0-1,3,2,2,3,2,1,2,4.0,2.92,1916969,1916969,128,66,10688,11055,32778,1867786,16400
gemm-dse:gemm-0-3-0-0-3-3-0,1,4,1,1,6,6,1,4.0,2.92,12054036,12054036,95,144,15345,15120,32776,12004864,16391
gemm-dse:gemm-2-1-1-2-4-2-0,3,2,2,3,8,4,1,4.0,2.92,13066271,13066271,128,130,36402,32611,32778,13017088,16400
gemm-dse:gemm-1-0-3-1-4-0-0,2,1,4,2,8,1,1,4.0,2.92,6541331,6541331,94,32,6187,6011,32776,6492160,16390
gemm-dse:gemm-0-1-2-3-1-3-2,1,2,3,4,2,6,4,4.0,2.92,573484,573484,110,320,28833,18400,32777,524300,16401
gemm-dse:gemm-0-3-1-2-0-3-0,1,4,2,3,1,6,1,4.0,2.92,27836446,27836446,108,50,9944,9809,32777,27787264,16400
gemm-dse:gemm-1-3-3-1-2-3-4,2,4,4,2,4,6,8,4.0,2.92,114721,114721,98,992,72069,28023,32776,65549,16390
gemm-dse:gemm-3-3-1-1-3-4-0,4,4,2,2,6,8,1,4.0,2.92,7903252,7903252,98,192,19213,17222,32776,7854080,16391
gemm-dse:gemm-2-3-3-3-1-4-3,3,4,4,4,2,8,6,4.0,2.92,147494,147494,130,512,45520,31527,32777,98321,16390
gemm-dse:gemm-1-3-3-1-0-0-0,2,4,4,2,1,1,1,4.0,2.92,6340632,6340632,98,4,2572,3622,32776,6291460,16390
gemm-dse:gemm-0-0-2-1-2-4-2,1,1,3,2,4,8,4,4.0,2.92,614442,614442,102,1024,78475,35593,32777,565258,16401
gemm-dse:gemm-3-2-1-1-2-2-4,4,3,2,2,4,4,8,4.0,2.92,180277,180277,130,1026,81074,50707,32777,131103,16391
gemm-dse:gemm-0-3-2-0-0-3-1,1,4,3,1,1,6,2,4.0,2.92,573482,573482,102,132,14495,12054,32777,524298,16401
gemm-dse:gemm-0-3-3-1-0-0-4,1,4,4,2,1,1,8,4.0,2.92,2146330,2146330,98,32,4687,4017,32776,2097158,16390
gemm-dse:gemm-3-0-1-0-1-3-4,4,1,2,1,2,6,8,4.0,2.92,311331,311331,96,392,31928,17313,32776,262158,16391
gemm-dse:gemm-3-3-1-1-3-1-1,4,4,2,2,6,2,2,4.0,2.92,218388,218388,98,1536,108567,36863,32776,169216,16391
gemm-dse:gemm-2-3-0-3-4-4-3,3,4,1,4,8,8,6,4.0,2.92,180275,180275,130,2048,153099,64395,32777,131101,16391
gemm-dse:gemm-0-0-2-3-4-3-4,1,1,3,4,8,6,8,4.0,2.92,311368,311368,108,2048,152253,59202,32777,262184,16401
gemm-dse:gemm-1-1-0-0-2-1-4,2,2,1,1,4,2,8,4.0,2.92,573522,573522,95,1016,73625,27992,32776,524349,16391
gemm-dse:gemm-3-0-1-0-2-1-4,4,1,2,1,4,2,8,4.0,2.92,311348,311348,96,960,70112,28712,32776,262175,16391
gemm-dse:gemm-3-3-0-0-3-3-2,4,4,1,1,6,6,4,4.0,2.92,591124,591124,95,1536,109825,37024,32776,541952,16391
gemm-dse:gemm-3-0-1-0-0-1-1,4,1,2,1,1,2,2,4.0,2.92,802837,802837,96,196,16825,8063,32776,753664,16391
gemm-dse:gemm-1-1-2-3-0-3-3,2,2,3,4,1,6,6,4.0,2.92,573478,573478,114,96,11964,10270,32777,524294,16401
gemm-dse:gemm-1-3-3-1-4-4-4,2,4,4,2,8,8,8,4.0,2.92,139289,139289,98,2048,143292,50251,32776,90117,16390
gemm-dse:gemm-1-3-1-2-4-4-4,2,4,2,3,8,8,8,4.0,2.92,147496,147496,108,2050,149584,55643,32777,98313,16400
gemm-dse:gemm-0-2-2-0-3-2-2,1,3,3,1,6,4,4,4.0,2.92,253482,253482,110,1574,114274,50075,32778,204298,16401
gemm-dse:gemm-1-2-1-0-4-2-3,2,3,2,1,8,4,6,4.0,2.92,311381,311381,116,2050,153540,75997,32777,262207,16391
gemm-dse:gemm-2-1-2-0-4-0-0,3,2,3,1,8,1,1,4.0,2.92,7168031,7168031,122,32,12020,11748,32777,7118848,16401
gemm-dse:gemm-3-3-0-2-4-1-3,4,4,1,3,8,2,6,4.0,2.92,245801,245801,102,2050,150230,54887,32777,196617,16401
gemm-dse:gemm-2-0-0-0-2-3-2,3,1,1,1,4,6,4,4.0,2.92,573525,573525,103,1024,82864,41259,32777,524351,16391
gemm-dse:gemm-1-1-3-1-2-4-2,2,2,4,2,4,8,4,4.0,2.92,180254,180254,98,944,69537,25691,32776,131082,16390
gemm-dse:gemm-2-2-0-3-1-2-3,3,3,1,4,2,4,6,4.0,2.92,1097813,1097813,106,514,48316,34451,32778,1048638,16391
gemm-dse:gemm-0-0-3-0-1-3-0,1,1,4,1,2,6,1,4.0,2.92,11698196,11698196,92,4,2927,5798,32776,11649024,16391
gemm-dse:gemm-0-2-3-3-1-2-4,1,3,4,4,2,4,8,4.0,2.92,442424,442424,106,514,46009,45427,32777,393251,16390
gemm-dse:gemm-3-3-0-1-3-4-1,4,4,1,2,6,8,2,4.0,2.92,321044,321044,96,1536,107653,36871,32776,271872,16391
gemm-dse:gemm-2-2-0-1-1-4-3,3,3,1,2,2,8,6,4.0,2.92,1097817,1097817,104,514,48726,34403,32778,1048642,16391
gemm-dse:gemm-3-3-2-2-4-0-0,4,4,3,3,8,1,1,4.0,2.92,7069728,7069728,102,34,12378,12665,32778,7020544,16401
gemm-dse:gemm-2-0-0-2-2-3-2,3,1,1,3,4,6,4,4.0,2.92,311365,311365,110,1026,82419,45210,32778,262180,16401
gemm-dse:gemm-1-1-0-3-3-2-2,2,2,1,4,6,4,4,4.0,2.92,188692,188692,98,1536,108263,35511,32776,139520,16391
gemm-dse:gemm-2-2-1-3-4-2-3,3,3,2,4,8,4,6,4.0,2.92,311335,311335,106,2050,159249,76823,32778,262161,16390
gemm-dse:gemm-2-3-2-2-2-3-4,3,4,3,3,4,6,8,4.0,2.92,344132,344132,134,1026,88023,49058,32778,294947,16401
gemm-dse:gemm-2-2-2-3-0-1-4,3,3,3,4,1,2,8,4.0,2.92,2146367,2146367,122,258,30745,28878,32778,2097182,16401
