status,bram_used,dsp_used,lut_used,lutmem_used,reg_used,uram_used,unroll,runtime_avg,runtime_std
ok,769,9,2372,126,3023,0,3,760.3911,0.009853425800201945
ok,769,6,2239,126,2894,0,2,852.4089,0.01869465164157267
ok,769,12,2384,126,3353,0,4,761.789,0.016661332479734735
ok,769,24,2713,126,3639,0,10,852.4304,0.026200000000004862
ok,769,15,2465,126,3396,0,5,760.4047000000002,0.024302469010381078
ok,769,21,2663,126,3527,0,7,853.9796999999999,0.004001249804748793
ok,769,18,2704,126,3375,0,9,853.9870999999999,0.013224598292582662
ok,769,12,2445,126,3320,0,8,1019.7720000000002,0.017204650534069603
ok,769,18,2450,126,3452,0,6,760.4021,0.020161597158952563
ok,769,3,2355,141,2888,0,1,841.4118999999998,0.019159592897554107
