status,resource2,est_avg_lat,est_lut,unroll,resource1,est_ff,est_bram,est_dsp,est_min_lat,bench,bank1,bank2,est_max_lat
ok,RAM_1P_BRAM,10717,6022,5,RAM_1P_BRAM,9570,26,60,10717,test:dot-product-2-4-4-0-0,3,5,10717
ok,RAM_1P_BRAM,10353,6596,25,RAM_T2P_BRAM,11374,20,100,10353,test:dot-product-1-1-15-1-0,2,2,10353
ok,RAM_T2P_BRAM,23579,4146,4,RAM_1P_BRAM,4897,24,20,23579,test:dot-product-0-2-3-0-1,1,3,23579
ok,RAM_1P_BRAM,8910,5430,24,RAM_1P_BRAM,10258,28,120,8910,test:dot-product-5-5-14-0-0,6,6,8910
ok,RAM_1P_BRAM,9047,4491,15,RAM_T2P_BRAM,7309,26,90,9047,test:dot-product-2-4-10-1-0,3,5,9047
ok,RAM_1P_BRAM,12319,5186,24,RAM_1P_BRAM,9423,20,96,12319,test:dot-product-3-0-14-0-0,4,1,12319
ok,RAM_T2P_BRAM,9898,6030,5,RAM_T2P_BRAM,9768,26,60,9898,test:dot-product-4-2-4-1-1,5,3,9898
ok,RAM_1P_BRAM,10310,22185,20,RAM_1P_BRAM,37607,28,160,10310,test:dot-product-2-5-13-0-0,3,6,10310
ok,RAM_T2P_BRAM,69644,3057,1,RAM_1P_BRAM,2576,26,4,69644,test:dot-product-4-5-0-0-1,5,6,69644
ok,RAM_T2P_BRAM,9283,15013,20,RAM_T2P_BRAM,31067,28,160,9283,test:dot-product-2-2-13-1-1,3,3,9283
ok,RAM_T2P_BRAM,9078,9254,10,RAM_T2P_BRAM,21383,24,80,9078,test:dot-product-5-3-8-1-1,6,4,9078
ok,RAM_1P_BRAM,12323,4652,18,RAM_T2P_BRAM,7539,24,90,12323,test:dot-product-2-0-12-1-0,3,1,12323
ok,RAM_T2P_BRAM,10274,3196,6,RAM_1P_BRAM,4094,24,30,10274,test:dot-product-1-5-5-0-1,2,6,10274
ok,RAM_T2P_BRAM,9625,5664,3,RAM_T2P_BRAM,8684,26,36,9625,test:dot-product-2-4-2-1-1,3,5,9625
ok,RAM_1P_BRAM,9592,3548,9,RAM_T2P_BRAM,4998,28,45,9592,test:dot-product-2-2-7-1-0,3,3,9592
ok,RAM_1P_BRAM,10307,8908,10,RAM_1P_BRAM,16429,24,80,10307,test:dot-product-3-2-8-0-0,4,3,10307
ok,RAM_T2P_BRAM,9170,7999,9,RAM_T2P_BRAM,13495,26,108,9170,test:dot-product-4-2-7-1-1,5,3,9170
ok,RAM_1P_BRAM,38937,3239,2,RAM_T2P_BRAM,3386,24,10,38937,test:dot-product-2-0-1-1-0,3,1,38937
ok,RAM_T2P_BRAM,9285,24822,24,RAM_T2P_BRAM,46358,26,288,9285,test:dot-product-5-4-14-1-1,6,5,9285
ok,RAM_T2P_BRAM,10271,5943,30,RAM_T2P_BRAM,11535,20,120,10271,test:dot-product-1-0-16-1-1,2,1,10271
ok,RAM_T2P_BRAM,10271,2913,6,RAM_T2P_BRAM,3702,20,24,10271,test:dot-product-0-1-5-1-1,1,2,10271
ok,RAM_T2P_BRAM,10274,5290,24,RAM_T2P_BRAM,9645,24,120,10274,test:dot-product-2-0-14-1-1,3,1,10274
ok,RAM_1P_BRAM,23579,4530,4,RAM_T2P_BRAM,5185,24,20,23579,test:dot-product-4-4-3-1-0,5,5,23579
ok,RAM_T2P_BRAM,23579,4340,4,RAM_1P_BRAM,5111,22,20,23579,test:dot-product-4-3-3-0-1,5,4,23579
ok,RAM_T2P_BRAM,38936,3562,2,RAM_1P_BRAM,3691,24,10,38936,test:dot-product-3-2-1-0-1,4,3,38936
ok,RAM_T2P_BRAM,23583,5708,4,RAM_T2P_BRAM,7055,28,20,23583,test:dot-product-5-2-3-1-1,6,3,23583
ok,RAM_1P_BRAM,10353,6518,25,RAM_1P_BRAM,10224,20,100,10353,test:dot-product-1-1-15-0-0,2,2,10353
ok,RAM_T2P_BRAM,9283,14501,20,RAM_1P_BRAM,28919,24,160,9283,test:dot-product-3-5-13-0-1,4,6,9283
ok,RAM_T2P_BRAM,8796,6942,36,RAM_T2P_BRAM,14121,24,180,8796,test:dot-product-3-5-17-1-1,4,6,8796
ok,RAM_T2P_BRAM,10835,6593,25,RAM_T2P_BRAM,11809,20,100,10835,test:dot-product-3-3-15-1-1,4,4,10835
ok,RAM_1P_BRAM,10271,3175,6,RAM_T2P_BRAM,3908,20,24,10271,test:dot-product-3-1-5-1-0,4,2,10271
ok,RAM_T2P_BRAM,12311,4010,16,RAM_1P_BRAM,7047,20,64,12311,test:dot-product-0-0-11-0-1,1,1,12311
ok,RAM_T2P_BRAM,12326,15022,16,RAM_1P_BRAM,22053,26,96,12326,test:dot-product-2-4-11-0-1,3,5,12326
ok,RAM_T2P_BRAM,10274,6159,30,RAM_1P_BRAM,11270,22,150,10274,test:dot-product-1-4-16-0-1,2,5,10274
ok,RAM_1P_BRAM,12048,3931,16,RAM_T2P_BRAM,6970,20,64,12048,test:dot-product-1-1-11-1-0,2,2,12048
ok,RAM_T2P_BRAM,9899,8727,5,RAM_1P_BRAM,12094,28,40,9899,test:dot-product-5-2-4-0-1,6,3,9899
ok,RAM_1P_BRAM,12362,6097,5,RAM_1P_BRAM,8161,24,40,12362,test:dot-product-5-0-4-0-0,6,1,12362
ok,RAM_T2P_BRAM,69644,2798,1,RAM_T2P_BRAM,2391,24,4,69644,test:dot-product-3-5-0-1-1,4,6,69644
ok,RAM_T2P_BRAM,15903,6190,8,RAM_1P_BRAM,8186,22,40,15903,test:dot-product-1-4-6-0-1,2,5,15903
ok,RAM_T2P_BRAM,10310,14123,12,RAM_1P_BRAM,23574,26,144,10310,test:dot-product-4-2-9-0-1,5,3,10310
ok,RAM_T2P_BRAM,9897,5979,5,RAM_T2P_BRAM,9307,24,40,9897,test:dot-product-1-2-4-1-1,2,3,9897
ok,RAM_T2P_BRAM,10989,4950,3,RAM_T2P_BRAM,7046,24,24,10989,test:dot-product-0-5-2-1-1,1,6,10989
ok,RAM_T2P_BRAM,15503,4099,9,RAM_1P_BRAM,5378,20,36,15503,test:dot-product-1-3-7-0-1,2,4,15503
ok,RAM_T2P_BRAM,23579,4226,4,RAM_1P_BRAM,5082,24,20,23579,test:dot-product-2-3-3-0-1,3,4,23579
ok,RAM_1P_BRAM,15903,8707,8,RAM_1P_BRAM,12064,28,40,15903,test:dot-product-2-5-6-0-0,3,6,15903
ok,RAM_T2P_BRAM,15903,6216,8,RAM_T2P_BRAM,8228,22,40,15903,test:dot-product-3-4-6-1-1,4,5,15903
ok,RAM_1P_BRAM,10273,3646,12,RAM_T2P_BRAM,5798,20,48,10273,test:dot-product-0-1-9-1-0,1,2,10273
ok,RAM_T2P_BRAM,8943,12454,18,RAM_T2P_BRAM,27359,26,216,8943,test:dot-product-4-2-12-1-1,5,3,8943
