status,est_ff,est_lut,est_dsp,est_bram
ok,1366,1528,0,20
ok,1374,1528,0,36
ok,1374,1528,0,36
ok,1366,1528,0,20
ok,1485,1592,0,16
ok,1374,1528,0,36
ok,1374,1528,0,36
ok,1485,1592,0,16
ok,1485,1592,0,16
ok,1366,1528,0,20
ok,1485,1592,0,16
ok,1366,1528,0,20
ok,1366,1528,0,20
ok,1485,1592,0,28
ok,1485,1592,0,28
ok,1366,1528,0,20
ok,1485,1592,0,28
ok,1366,1528,0,20
ok,1360,1528,0,12
ok,1485,1592,0,28
ok,1374,1528,0,36
ok,1492,1592,0,28
ok,1366,1528,0,20
ok,1485,1592,0,28
ok,1485,1592,0,16
ok,1366,1528,0,20
ok,1366,1528,0,20
ok,1366,1528,0,20
ok,1374,1528,0,36
ok,1374,1528,0,36
ok,1360,1528,0,12
ok,1360,1528,0,12
ok,1374,1528,0,36
ok,1366,1528,0,20
ok,1360,1528,0,12
ok,1360,1528,0,12
ok,1360,1528,0,12
ok,1360,1528,0,12
ok,1360,1528,0,12
ok,1492,1592,0,28
ok,1485,1592,0,16
ok,1366,1528,0,20
ok,1485,1592,0,16
ok,1374,1528,0,36
ok,1485,1592,0,16
ok,1492,1592,0,28
ok,1366,1528,0,20
ok,1485,1592,0,16
ok,1374,1528,0,36
ok,1360,1528,0,12
ok,1485,1592,0,28
ok,1492,1592,0,28
ok,1485,1592,0,16
ok,1485,1592,0,16
ok,1492,1592,0,28
ok,1374,1528,0,36
ok,1360,1528,0,12
ok,1492,1592,0,28
ok,1360,1528,0,12
ok,1374,1528,0,36
ok,1485,1592,0,16
ok,1366,1528,0,20
