orig_d1,orig_d2,filter_d1,filter_d2,ur_loop1,ur_loop2,bench,target_clock,estimated_clock,min_latency,max_latency,bram_used,dsp48_used,ff_used,lut_used
1,6,1,1,1,1,stencil2d-inner-flatten:machsuite-stencil-stencil2d-inner-0-5-0-0-0-0,4.0,2.92,56123,56123,43,36,16750,17382
3,1,3,1,3,1,stencil2d-inner-flatten:machsuite-stencil-stencil2d-inner-2-0-2-0-2-0,4.0,2.92,56240,56240,44,36,16158,19093
3,3,3,3,3,3,stencil2d-inner-flatten:machsuite-stencil-stencil2d-inner-2-2-2-2-2-2,4.0,2.92,56249,56249,41,36,17765,19422
1,3,1,3,1,3,stencil2d-inner-flatten:machsuite-stencil-stencil2d-inner-0-2-0-2-0-2,4.0,2.92,56123,56123,44,36,16734,17227
1,6,1,3,1,3,stencil2d-inner-flatten:machsuite-stencil-stencil2d-inner-0-5-0-2-0-2,4.0,2.92,56123,56123,47,36,16593,17313
1,1,1,1,1,1,stencil2d-inner-flatten:machsuite-stencil-stencil2d-inner-0-0-0-0-0-0,4.0,2.92,56119,56119,37,36,16275,17668
3,3,1,1,1,1,stencil2d-inner-flatten:machsuite-stencil-stencil2d-inner-2-2-0-0-0-0,4.0,2.92,56249,56249,37,36,17935,19448
3,2,3,1,3,1,stencil2d-inner-flatten:machsuite-stencil-stencil2d-inner-2-1-2-0-2-0,4.0,2.92,56114,56114,47,36,17264,18749
3,3,3,1,3,1,stencil2d-inner-flatten:machsuite-stencil-stencil2d-inner-2-2-2-0-2-0,4.0,2.92,56249,56249,41,36,17765,19422
1,2,1,1,1,1,stencil2d-inner-flatten:machsuite-stencil-stencil2d-inner-0-1-0-0-0-0,4.0,2.92,40621,40621,41,36,18329,17208
3,1,1,1,1,1,stencil2d-inner-flatten:machsuite-stencil-stencil2d-inner-2-0-0-0-0-0,4.0,2.92,56240,56240,40,36,16360,19119
1,3,1,1,1,1,stencil2d-inner-flatten:machsuite-stencil-stencil2d-inner-0-2-0-0-0-0,4.0,2.92,56123,56123,40,36,16902,17296
3,6,3,1,3,1,stencil2d-inner-flatten:machsuite-stencil-stencil2d-inner-2-5-2-0-2-0,4.0,2.92,56249,56249,59,36,17821,20002
3,6,3,3,3,3,stencil2d-inner-flatten:machsuite-stencil-stencil2d-inner-2-5-2-2-2-2,4.0,2.92,56249,56249,59,36,17821,20002
3,6,1,1,1,1,stencil2d-inner-flatten:machsuite-stencil-stencil2d-inner-2-5-0-0-0-0,4.0,2.92,56249,56249,55,36,17991,20028
3,3,1,3,1,3,stencil2d-inner-flatten:machsuite-stencil-stencil2d-inner-2-2-0-2-0-2,4.0,2.92,56249,56249,41,36,17831,19379
3,6,1,3,1,3,stencil2d-inner-flatten:machsuite-stencil-stencil2d-inner-2-5-0-2-0-2,4.0,2.92,56249,56249,59,36,17887,19959
3,2,1,1,1,1,stencil2d-inner-flatten:machsuite-stencil-stencil2d-inner-2-1-0-0-0-0,4.0,2.92,56114,56114,43,36,17466,18775
