status,partition,unroll1,unroll2,bench,bram_used,dsp_used,lut_used,lutmem_used,reg_used,uram_used,runtime_avg,runtime_std
ok,4,2,2,index-hard:gemm-hard-0-0-0,49,12,2351,126,3201,0,10.830940000000002,0.010883583968528126
ok,8,2,4,index-hard:gemm-hard-0-1-1,49,24,3539,127,3831,0,10.842289999999998,0.010074169940992634
ok,16,2,8,index-hard:gemm-hard-0-2-2,49,48,6973,128,5047,0,10.812470000000001,0.010504955973253596
ok,8,4,2,index-hard:gemm-hard-1-0-1,49,24,3239,127,3816,0,10.9326,0.01436175476743709
ok,16,4,4,index-hard:gemm-hard-1-1-2,49,48,5372,128,5154,0,10.9147,0.012117095361512904
ok,32,4,8,index-hard:gemm-hard-1-2-3,49,96,16050,129,8925,0,10.88498,0.012814897580550717
ok,16,8,2,index-hard:gemm-hard-2-0-2,49,48,4673,128,4792,0,10.934410000000002,0.011144007358217087
ok,32,8,4,index-hard:gemm-hard-2-1-3,49,96,15503,129,7915,0,10.900770000000001,0.009809490302762949
ok,64,8,8,index-hard:gemm-hard-2-2-4,97,192,40162,130,12991,0,20.195749999999997,0.011164161410513533
