bench,version,status,estimate,hls_lat_min,hls_lat_max,hls_lut,full_lut,hls_ff,full_ff,hls_bram,full_bram18,full_bram36,hls_dsp,full_dsp
aes,baseline,ok,False,14862,21622,11952,13553,5283,16264,10,19,12,0,0
aes,rewrite,ok,False,12088,19173,10504,12534,4689,15638,10,19,12,0,0
backprop,baseline,compiler error,False,134969054,134969054,62041,,59752,,58,,,198,
backprop,rewrite,missing,,,,,,,,,,,,
bfs-bulk,baseline,ok,False,2826,35870,1662,9587,1357,14005,2,9,29,0,0
bfs-bulk,rewrite,ok,False,2826,33308,1600,9564,1250,13902,2,9,29,0,0
bfs-queue,baseline,ok,False,14,1544,2895,9634,1906,15254,10,11,24,0,0
bfs-queue,rewrite,ok,False,13,1288,2686,9472,1884,15253,10,11,24,0,0
fft-strided,baseline,ok,False,158741,645141,9420,10890,7304,18346,8,6,19,56,56
fft-strided,rewrite,ok,False,158741,645141,9437,10867,7323,18473,8,6,19,56,56
fft-transpose,baseline,resources,False,183435,197771,58316,,56246,,40,,,336,
fft-transpose,rewrite,resources,False,230091,244427,42459,,45184,,40,,,290,
gemm-blocked,baseline,ok,False,6463633,6463633,2988,7874,2250,13378,4,6,29,14,14
gemm-blocked,rewrite,ok,False,7151761,7151761,2918,7881,2194,13355,4,6,29,14,14
gemm-ncubed,baseline,timing,False,262671,262671,4854,,8630,,98,,,14,
gemm-ncubed,rewrite,timing,False,5513345,5513345,2000,,1504,,0,,,14,
kmp,baseline,ok,False,194534,10534288140,3075,8064,2325,11977,6,14,7,0,0
kmp,rewrite,ok,False,194534,10534288122,3107,8094,2349,12001,6,14,7,0,0
md-grid,baseline,ok,False,2832,2832,13942,23688,16109,37118,24,15,40,67,55
md-grid,rewrite,ok,False,4411,19259,13345,22731,12582,34960,12,15,40,42,42
md-knn,baseline,ok,False,725761,725761,10187,20122,11013,31870,0,14,32,42,42
md-knn,rewrite,timing,False,725761,725761,10204,,11006,,0,,,42,
nw,baseline,ok,False,460308,461708,3315,11364,2058,14291,4,14,24,3,1
nw,rewrite,ok,False,443924,445324,3310,11332,2026,14275,4,14,24,0,0
sort-merge,baseline,ok,False,23,1291980823,1685,2827,1302,4015,6,4,3,0,0
sort-merge,rewrite,ok,False,23,1291980823,1531,2667,1152,3920,6,4,3,0,0
sort-radix,baseline,ok,False,2222465,2222465,7075,8839,3935,13455,8,17,6,0,0
sort-radix,rewrite,ok,False,2416769,2416769,7489,8927,4237,13680,8,17,6,0,0
spmv-crs,baseline,ok,False,2471,2205217,1971,9398,1681,14879,0,7,22,14,14
spmv-crs,rewrite,timing,False,1977,5614805,1963,,1626,,0,,,14,
spmv-ellpack,baseline,ok,False,56323,56323,2981,8246,2449,14042,4,6,34,14,14
spmv-ellpack,rewrite,ok,False,144249,144249,2826,8095,2218,13919,4,6,34,14,14
stencil-stencil2d,baseline,ok,False,117181,117181,454,7977,271,11707,0,6,30,3,3
stencil-stencil2d,rewrite,ok,False,625213,625213,346,7988,446,11855,0,6,30,4,3
stencil-stencil3d,baseline,resources,False,48376,48376,137215,,187402,,0,,,2940,
stencil-stencil3d,rewrite,ok,False,223816,223816,989,8623,1106,13536,0,7,42,8,6
viterbi,baseline,ok,False,14352694,14352694,4236,9354,2581,14112,66,10,61,3,3
viterbi,rewrite,ok,False,13792246,13792246,4243,9362,2506,14074,66,10,61,3,3
