status,est_avg_lat,est_lut,bench,unroll,est_bram,bank2,est_min_lat,est_dsp,resource1,resource2,est_max_lat,est_ff,bank1
ok,69644,2694,test:dot-product-6-0-0-1-0,1,26,1,69644,4,RAM_T2P_BRAM,RAM_1P_BRAM,69644,2247,7
ok,12597,6119,test:dot-product-7-7-10-1-0,15,28,8,12597,60,RAM_T2P_BRAM,RAM_1P_BRAM,12597,8249,8
ok,69644,2974,test:dot-product-1-6-0-1-0,1,26,7,69644,4,RAM_T2P_BRAM,RAM_1P_BRAM,69644,2308,2
ok,10271,3872,test:dot-product-1-3-8-0-1,10,20,4,10271,40,RAM_1P_BRAM,RAM_T2P_BRAM,10271,5344,2
ok,9452,6947,test:dot-product-1-3-16-1-0,30,20,4,9452,120,RAM_T2P_BRAM,RAM_1P_BRAM,9452,11813,2
ok,38937,3528,test:dot-product-5-3-1-0-0,2,24,4,38937,10,RAM_1P_BRAM,RAM_1P_BRAM,38937,3611,6
ok,9627,12206,test:dot-product-6-4-7-0-0,9,28,5,9627,108,RAM_1P_BRAM,RAM_1P_BRAM,9627,17148,7
ok,9626,13251,test:dot-product-6-2-12-1-0,18,30,3,9626,216,RAM_T2P_BRAM,RAM_1P_BRAM,9626,26878,7
ok,8912,10277,test:dot-product-5-7-17-0-0,36,24,8,8912,288,RAM_1P_BRAM,RAM_1P_BRAM,8912,26988,6
ok,9397,12765,test:dot-product-4-3-12-1-0,18,22,4,9397,144,RAM_T2P_BRAM,RAM_1P_BRAM,9397,23465,5
ok,9080,17920,test:dot-product-5-6-16-0-0,30,30,7,9080,360,RAM_1P_BRAM,RAM_1P_BRAM,9080,37628,6
ok,10306,8100,test:dot-product-1-6-5-0-1,6,26,7,10306,48,RAM_1P_BRAM,RAM_T2P_BRAM,10306,12967,2
ok,15503,4339,test:dot-product-3-7-7-0-0,9,20,8,15503,36,RAM_1P_BRAM,RAM_1P_BRAM,15503,5317,4
ok,9362,5086,test:dot-product-1-3-12-1-0,18,20,4,9362,72,RAM_T2P_BRAM,RAM_1P_BRAM,9362,8008,2
ok,9867,3831,test:dot-product-1-4-4-1-1,5,22,5,9867,40,RAM_T2P_BRAM,RAM_T2P_BRAM,9867,5828,2
ok,10274,3196,test:dot-product-5-1-5-1-0,6,24,2,10274,30,RAM_T2P_BRAM,RAM_1P_BRAM,10274,4094,6
ok,30058,2956,test:dot-product-1-7-2-0-1,3,28,8,30058,12,RAM_1P_BRAM,RAM_T2P_BRAM,30058,2703,2
ok,9593,4630,test:dot-product-2-2-12-0-1,18,28,3,9593,90,RAM_1P_BRAM,RAM_T2P_BRAM,9593,8080,3
ok,10306,8819,test:dot-product-6-6-5-0-1,6,32,7,10306,48,RAM_1P_BRAM,RAM_T2P_BRAM,10306,13616,7
ok,12311,4001,test:dot-product-0-7-11-0-1,16,28,8,12311,64,RAM_1P_BRAM,RAM_T2P_BRAM,12311,6749,1
ok,23583,5920,test:dot-product-6-5-3-0-0,4,30,6,23583,24,RAM_1P_BRAM,RAM_1P_BRAM,23583,7111,7
ok,30058,2858,test:dot-product-7-0-2-1-0,3,28,1,30058,12,RAM_T2P_BRAM,RAM_1P_BRAM,30058,2764,8
ok,12619,8336,test:dot-product-3-5-10-1-1,15,24,6,12619,120,RAM_T2P_BRAM,RAM_T2P_BRAM,12619,15741,4
ok,10271,4621,test:dot-product-1-3-13-0-1,20,20,4,10271,80,RAM_1P_BRAM,RAM_T2P_BRAM,10271,8267,2
ok,9283,14987,test:dot-product-2-7-13-1-0,20,24,8,9283,160,RAM_T2P_BRAM,RAM_1P_BRAM,9283,31758,3
ok,10717,6022,test:dot-product-2-4-4-0-0,5,26,5,10717,60,RAM_1P_BRAM,RAM_1P_BRAM,10717,9570,3
ok,12361,14076,test:dot-product-0-6-9-0-1,12,26,7,12361,96,RAM_1P_BRAM,RAM_T2P_BRAM,12361,20728,1
ok,12066,15698,test:dot-product-6-4-11-1-1,16,28,5,12066,96,RAM_T2P_BRAM,RAM_T2P_BRAM,12066,21449,7
ok,10353,6596,test:dot-product-1-1-15-1-0,25,20,2,10353,100,RAM_T2P_BRAM,RAM_1P_BRAM,10353,11374,2
ok,23579,4146,test:dot-product-0-2-3-0-1,4,24,3,23579,20,RAM_1P_BRAM,RAM_T2P_BRAM,23579,4897,1
ok,8910,5430,test:dot-product-5-5-14-0-0,24,28,6,8910,120,RAM_1P_BRAM,RAM_1P_BRAM,8910,10258,6
ok,8828,23335,test:dot-product-6-7-17-1-0,36,26,8,8828,288,RAM_T2P_BRAM,RAM_1P_BRAM,8828,46460,7
ok,12600,5165,test:dot-product-7-2-10-0-0,15,24,3,12600,75,RAM_1P_BRAM,RAM_1P_BRAM,12600,6866,8
ok,10308,20292,test:dot-product-6-0-17-1-1,36,26,1,10308,288,RAM_T2P_BRAM,RAM_T2P_BRAM,10308,37251,7
ok,9047,4491,test:dot-product-2-4-10-1-0,15,26,5,9047,90,RAM_T2P_BRAM,RAM_1P_BRAM,9047,7309,3
ok,21355,6679,test:dot-product-7-5-4-1-1,5,32,6,21355,40,RAM_T2P_BRAM,RAM_T2P_BRAM,21355,8728,8
ok,12319,5186,test:dot-product-3-0-14-0-0,24,20,1,12319,96,RAM_1P_BRAM,RAM_1P_BRAM,12319,9423,4
ok,9898,6030,test:dot-product-4-2-4-1-1,5,26,3,9898,60,RAM_T2P_BRAM,RAM_T2P_BRAM,9898,9768,5
ok,10310,22185,test:dot-product-2-5-13-0-0,20,28,6,10310,160,RAM_1P_BRAM,RAM_1P_BRAM,10310,37607,3
ok,9349,16200,test:dot-product-6-1-16-1-1,30,26,2,9349,240,RAM_T2P_BRAM,RAM_T2P_BRAM,9349,29231,7
ok,69644,3057,test:dot-product-4-5-0-0-1,1,26,6,69644,4,RAM_1P_BRAM,RAM_T2P_BRAM,69644,2576,5
ok,15884,3096,test:dot-product-7-3-6-1-1,8,20,4,15884,32,RAM_T2P_BRAM,RAM_T2P_BRAM,15884,4312,8
ok,8907,4850,test:dot-product-7-7-9-0-1,12,28,8,8907,48,RAM_1P_BRAM,RAM_T2P_BRAM,8907,5994,8
ok,9283,15013,test:dot-product-2-2-13-1-1,20,28,3,9283,160,RAM_T2P_BRAM,RAM_T2P_BRAM,9283,31067,3
ok,9283,24523,test:dot-product-5-6-13-0-1,20,30,7,9283,240,RAM_1P_BRAM,RAM_T2P_BRAM,9283,46232,6
ok,30091,5776,test:dot-product-6-7-2-0-0,3,26,8,30091,24,RAM_1P_BRAM,RAM_1P_BRAM,30091,6940,7
ok,9078,9254,test:dot-product-5-3-8-1-1,10,24,4,9078,80,RAM_T2P_BRAM,RAM_T2P_BRAM,9078,21383,6
ok,12323,4652,test:dot-product-2-0-12-1-0,18,24,1,12323,90,RAM_T2P_BRAM,RAM_1P_BRAM,12323,7539,3
ok,10303,16097,test:dot-product-6-0-16-0-1,30,26,1,10303,240,RAM_1P_BRAM,RAM_T2P_BRAM,10303,26906,7
ok,10274,3196,test:dot-product-1-5-5-0-1,6,24,6,10274,30,RAM_1P_BRAM,RAM_T2P_BRAM,10274,4094,2
ok,10306,8522,test:dot-product-6-5-5-0-1,6,30,6,10306,72,RAM_1P_BRAM,RAM_T2P_BRAM,10306,13913,7
ok,9625,5664,test:dot-product-2-4-2-1-1,3,26,5,9625,36,RAM_T2P_BRAM,RAM_T2P_BRAM,9625,8684,3
ok,9592,3548,test:dot-product-2-2-7-1-0,9,28,3,9592,45,RAM_T2P_BRAM,RAM_1P_BRAM,9592,4998,3
ok,10837,7544,test:dot-product-1-7-15-0-1,25,28,8,10837,100,RAM_1P_BRAM,RAM_T2P_BRAM,10837,11066,2
ok,8942,20285,test:dot-product-7-6-16-0-1,30,26,7,8942,240,RAM_1P_BRAM,RAM_T2P_BRAM,8942,34560,8
ok,10307,8908,test:dot-product-3-2-8-0-0,10,24,3,10307,80,RAM_1P_BRAM,RAM_1P_BRAM,10307,16429,4
ok,9170,7999,test:dot-product-4-2-7-1-1,9,26,3,9170,108,RAM_T2P_BRAM,RAM_T2P_BRAM,9170,13495,5
ok,38937,3239,test:dot-product-2-0-1-1-0,2,24,1,38937,10,RAM_T2P_BRAM,RAM_1P_BRAM,38937,3386,3
ok,9285,24822,test:dot-product-5-4-14-1-1,24,26,5,9285,288,RAM_T2P_BRAM,RAM_T2P_BRAM,9285,46358,6
ok,9898,6746,test:dot-product-6-4-4-0-0,5,28,5,9898,60,RAM_1P_BRAM,RAM_1P_BRAM,9898,9768,7
ok,10271,5943,test:dot-product-1-0-16-1-1,30,20,1,10271,120,RAM_T2P_BRAM,RAM_T2P_BRAM,10271,11535,2
ok,9452,4411,test:dot-product-7-1-8-0-1,10,20,2,9452,40,RAM_1P_BRAM,RAM_T2P_BRAM,9452,5230,8
ok,10271,2913,test:dot-product-0-1-5-1-1,6,20,2,10271,24,RAM_T2P_BRAM,RAM_T2P_BRAM,10271,3702,1
ok,10274,5290,test:dot-product-2-0-14-1-1,24,24,1,10274,120,RAM_T2P_BRAM,RAM_T2P_BRAM,10274,9645,3
ok,23579,4530,test:dot-product-4-4-3-1-0,4,24,5,23579,20,RAM_T2P_BRAM,RAM_1P_BRAM,23579,5185,5
