status,unroll,est_max_lat,resource2,est_ff,bench,bank2,resource1,bank1,est_min_lat,est_dsp,est_lut,est_avg_lat,est_bram
ok,15,9046,RAM_T2P_BRAM,7175,test:dot-product-2-4-10-1-1,5,RAM_T2P_BRAM,3,9046,90,4482,9046,26
ok,16,12044,RAM_T2P_BRAM,7015,test:dot-product-1-3-11-1-1,4,RAM_T2P_BRAM,2,12044,64,4027,12044,20
ok,16,12048,RAM_T2P_BRAM,7038,test:dot-product-1-0-11-1-1,1,RAM_T2P_BRAM,2,12048,64,4053,12048,20
ok,12,9248,RAM_T2P_BRAM,5763,test:dot-product-3-1-9-1-1,2,RAM_T2P_BRAM,4,9248,48,3681,9248,20
ok,12,8909,RAM_T2P_BRAM,6160,test:dot-product-5-2-9-1-1,3,RAM_T2P_BRAM,6,8909,60,4131,8909,28
ok,16,12044,RAM_T2P_BRAM,7015,test:dot-product-3-1-11-1-1,2,RAM_T2P_BRAM,4,12044,64,4027,12044,20
ok,16,12048,RAM_T2P_BRAM,6937,test:dot-product-7-0-11-1-1,1,RAM_T2P_BRAM,8,12048,64,4085,12048,28
ok,10,10274,RAM_T2P_BRAM,5197,test:dot-product-0-4-8-1-1,5,RAM_T2P_BRAM,1,10274,50,3624,10274,22
ok,10,10271,RAM_T2P_BRAM,5010,test:dot-product-0-1-8-1-1,2,RAM_T2P_BRAM,1,10271,40,3401,10271,20
ok,15,10411,RAM_T2P_BRAM,6809,test:dot-product-0-2-10-1-1,3,RAM_T2P_BRAM,1,10411,75,4241,10411,24
ok,12,9251,RAM_T2P_BRAM,6154,test:dot-product-2-1-9-1-1,2,RAM_T2P_BRAM,3,9251,60,3941,9251,24
ok,16,12044,RAM_T2P_BRAM,7006,test:dot-product-1-7-11-1-1,8,RAM_T2P_BRAM,2,12044,64,3977,12044,28
ok,12,9251,RAM_T2P_BRAM,6167,test:dot-product-1-5-9-1-1,6,RAM_T2P_BRAM,2,9251,60,3953,9251,24
ok,15,10411,RAM_T2P_BRAM,6950,test:dot-product-4-0-10-1-1,1,RAM_T2P_BRAM,5,10411,75,4262,10411,22
ok,12,10275,RAM_T2P_BRAM,6058,test:dot-product-0-5-9-1-1,6,RAM_T2P_BRAM,1,10275,60,3939,10275,24
